Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity
2023-12-26,1,Australia,Not Verified,"""Horrible experience overall""","Horrible experience. Lot more lost in this budget ticket. Going luggage was lost, had to shop locally. Return ticket after surprise cancellation two hour prior was booked again by me to Sydney via Adelaide two days later. No direct check in for luggage. This lady Bronwyn was the elderly lady i met accidentally, charged me another $60 for excess luggage. Felt like dealing to someone made of rubber. Where’s my compensation for lost baggage and cancelled flight wasting many days and hours of calls. Horrible experience overall, combined with poor customer service throughout from Jetstar.",,Business,Economy Class,Darwin,Sydney,Adelaide,December 2023,3.0,4.0,1.0,1,no,2.0,,
2023-12-23,4,Australia,Trip Verified,"""frustrated with my experience""","The flight was delayed by nearly an hour without any explanation or apology from the airline. The plane was dirty, with debris and an empty water bottle left near my seat that affected the cleanliness of my personal belongings. Overall, I am frustrated with my experience with Qantas and its affiliates. I hope to see some competition in the airline industry to improve the quality of service in this country.",A320,Business,Economy Class,Sydney,Melbourne,,December 2023,3.0,3.0,3.0,2,no,,,
2023-12-13,1,Australia,Not Verified,"""service is terrible and pathetic"" ",The service is terrible and pathetic. I was supposed to receive $400 voucher 2 months ago but haven’t received it yet. I called them more than 7 times and they kept saying that they have escalated my case and forwarded the case to the finance team to process the voucher. All of the staff promised me that I will be receiving voucher in next 24hrs after the phone call. But its been 2 months I have not received the voucher. Its so frustrating to keep waiting on the calls every time.,,Solo Leisure,Economy Class,Melbourne,Sydney,,November 2023,,,,1,no,,,
2023-12-03,8,Australia,Not Verified,"""the seats were very comfy""","When I was going from Perth to Melbourne for a competition, I flew on JetStar, the thing about it is that all the food was needing money and there was no WiFi or inflight entertainment. The good side is that the staff were really nice and the seats were very comfy.",Boeing-787,Solo Leisure,Economy Class,Perth,Melbourne,,October 2023,5.0,4.0,4.0,2,yes,3.0,,
2023-11-29,3,Australia,Trip Verified,"""seats were uncomfortable""","The seats were uncomfortable as there were 2 bars down the seat (my partner was the same), we were glad it was only a 7hour flight. Also, the flight was delayed 4 hours, which resulted in us missing our connection from Cairns to the Gold Coast. The food was mediocre at best, you had to pay for everything despite it being an international flight overnight - the blankets, earphones, entertainment, food, drinks (except water, drip coffee, and tea), everything cost money. Overall, I would only ever fly with them if I had no other option, or competitors were exceptionally more expensive.",Boeing 787,Couple Leisure,Economy Class,Osaka,Gold Coast,Cairns,November 2023,2.0,3.0,2.0,3,no,3.0,2.0,
2023-11-18,8,Australia,Trip Verified,"""went above and beyond to help me""","My Virgin Flight from Coolangatta to Sydney was cancelled so I headed to Jetstar customer service desk and Dylan went above and beyond to help me with arranging an alternative flight to Sydney. As you can imagine it was chaos with so many passengers trying to organise alternative flights to their destinations. He remained calm, friendly patient and professional at all times. Trying to book a flight online during this time was not available as internet must have been overloaded with so passengers trying to organise alternative flights. Dylan took it upon himself to call customer service and booked my flight over the phone without question and all was done and paid for within 10 minutes. Thank you so much for your assistance.",,Family Leisure,Economy Class,Ballina,Sydney,,December 2022,5.0,,5.0,1,yes,,,
2023-11-13,6,United Kingdom,Trip Verified,"""was not a pleasant experience""","Flights were 30 minutes late in both directions, boarding chaotic on both flights. Cabin baggage policy enforced severely on both sectors - ground and air personnel were polite. Baggage information at SYD on the return was non existent but may be SYD in general as the airport is vastly oversubscribed. Overall they did what it said on the ticket but was not a pleasant experience and had we had other timing options I wouldn't use them again",A320,Couple Leisure,Economy Class,Sunshine Coast,Sydney,,November 2023,4.0,5.0,4.0,2,no,4.0,,
2023-11-06,8,United States,Trip Verified,"""I had a truly pleasant experience""","I had a truly pleasant experience today. Although the hard product dies not meet international business class standards the price compensates for this. For a 10 hour daytime flight I was comfortable. Seat and space is equal to a domestic US first class flight. The food is generous but served on one tray with little flair. On this flight there was a full breakfast and later a decent lunch. Both meals offered options and were tasty. In addition you can request anything from the economy offerings (sandwiches, snacks etc) free of charge at any time. The flight attendants were efficient and very cordial. The IFE was decent but rebooted about three or four times( again not great hard product)Flight was early and baggage arrived quickly( no business tags) I am happy that I am not taking the return overnight flight as without flat bed seats, sleep was next to impossible for me. I do feel like I got more than my money’s worth and was treated very kindly in flight. I’d take another daytime flight anytime.",Boeing 787-8,Solo Leisure,Business Class,Honolulu,Melbourne,,November 2023,3.0,5.0,4.0,5,yes,4.0,4.0,
2023-10-31,7,Australia,Trip Verified,"""staff were very professional""","Flight was delayed several hours due to strong wind on the day and then aircraft problems. However, staff were very professional and very helpful even though they’ve been working 12 hour shift. Lavatory were clean. Smooth take-off and landing.",A320-200,Couple Leisure,Economy Class,Sydney,Cairns,,October 2023,4.0,5.0,3.0,4,yes,4.0,,
2023-10-28,3,Australia,Trip Verified,"""Business class is definitely not business class""","Business class is definitely not business class. it is premium Economy at best. So don't be fooled into thinking you are getting a business class ride. You will get an old premium economy seat, and economy class food. Yeah, there are free drinks which you need to be able to sleep in the chairs that recline a little, not a lot. Otherwise, treatment of Business Class passengers is the same as economy.",A320,Couple Leisure,Business Class,Narita,Melbourne,,October 2023,2.0,3.0,1.0,2,no,2.0,1.0,1.0
2023-10-27,1,Australia,Not Verified,"""Totally unreliable""",Horrible airline. Do not fly Jetstar. Totally unreliable. You have a 50-50 chance of your flight being cancelled then offered a 7 hour replacement flight for your 2.5 hour one in some ridiculous time slot. Happens all the time.,,Couple Leisure,Economy Class,Brisbane,Melbourne,,October 2023,1.0,2.0,1.0,1,no,1.0,,
2023-10-21,2,Australia,Not Verified,"""No longer low price""",All sectors over 3 hours late. Not allowed to bring water on board. Airline serves water from the plane tanks. Food absolutely disgusting - butter chicken at 0600 am. Cold coffee. Toilets filthy. Crew miserable. Unable to move to free seats. When did flying become so bad it’s like riding a public bus. No longer low price when you add all the extras and I bought the max package however to change would have cost - the same price again (double the original fare) to change.,Boeing 787,Solo Leisure,Economy Class,Melbourne,Ho Chi Minh City,,October 2023,1.0,1.0,2.0,1,no,1.0,1.0,1.0
2023-10-17,2,Australia,Trip Verified,“not a reliable service”,This has been the last time I have booked on this airline. Flight to Sydney canceled 5 min before boarding. Current flight delayed twice. It’s is not a reliable service and if you need to be somewhere on schedule Never never never use this airline.,,Solo Leisure,Premium Economy,Sydney,Brisbane,,October 2023,1.0,3.0,1.0,1,no,1.0,1.0,1.0
2023-10-05,4,Australia,Not Verified,"""time keeping abilities are atrocious""","While I've only flown with this airline a couple of times I must say that their time management is not of high quality. Once in-flight the cabin crew are quite nice however the airlines flight and time keeping abilities are atrocious. Last time I flew Jetstar I was lucky enough to not have a canceled flight, I have found over the years that Jetstar has a track record of canceling and seriously delaying their flights. Their seats are also of low comfort as to be expected from a budget domestic airline. However the cabin crew are very friendly and are always positive and helpful.",A320,Family Leisure,Economy Class,Hamilton Island,Sydney,,April 2023,2.0,4.0,1.0,2,no,2.0,3.0,1.0
2023-10-02,1,Australia,Trip Verified,"""I lose 2 days of my holiday""",I fly to Darwin to visit my 6 year old grandson every 3 months. His anticipation is beyond description as he counts down the number of sleeps till I arrive. Last night he went to bed expecting me there for cuddles this morning. My Jetstar flight was cancelled via txt msg 2 hours before boarding and next flight option is a 15+ hour journey via southern states - 2 x 5 hour flights in the wrong direction plus hang around airport waiting for the privilege of flying with them. My new flights are Wednesday which means I lose 2 days of my holiday with my grandson.,,Solo Leisure,Economy Class,Cairns,Darwin,,July 2023,1.0,2.0,1.0,1,no,1.0,,
2023-10-02,1,Australia,Not Verified,"""Absolutely appalling experience""",Absolutely appalling experience with Jetstar. Our flights were booked well in advance. We arrived over 2 hours before our flight to be told they have oversold the plane (which they assured us in common practice). We are a group of 3 and the counter staff told us they could accommodate 1 person on the flight and the other would have to fly the following day. Given everyone had children at home and had businesses to run this was not an options. The second solution was to fly to an airport 3 hours from the destination. This was also not an option. The final solution was to fly to an airport 2 hours away later that evening. We asked to speak to a Manager. The staff gave out and told us that they had overbooked flights the previous day and given away our seats to other customers. When we questioned her she shoved her hands in our face and said “I’m not dealing with this” and walked away. No customer service whatsoever and left the junior counter staff to deal with the situation. As jetstar had given away our booked and paid for seats we agreed to 1 person flying on the original flight and the other 2 taking the alternative flyer and being out of pocket for a 2 hour Uber. Then after further delay we were informed they had again made an error and we had now lost our 1 original seat we had been promised. We asked to speak to a manager and out came manager. We thought customer service has bad before she has appalling and extremely rude. She refused to listen and spoke over the top of us. We asked why they didn’t give us a courtesy call and she said if it’s under 2 hours they don’t have to and deal with it at the airport. We were there before 2 hours to self check in so this was a lie. She offered to cancel our flights (refund in 14 days) knowing full well that no other airlines had available flights that day. We asked why our seats where given away and we got contradicting answers She really could not care less and was extremely rude. He final response was we should be grateful because she could give us nothing. Clearly staff and process need so revisions,,Solo Leisure,Economy Class,Sydney,Sunshine coast,Brisbane,October 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2023-09-27,1,United Arab Emirates,Trip Verified,"""circus-like experience"" ","Flying with Jetstar felt like being part of a special performance where the crew believed they were doing passengers a colossal favor. From the relentless PA announcements about how the crew should be treated, you'd think we were aboard a magical unicorn, not a plane. I get it, some passengers can be a handful, but did we really need to hear the ""be kind to your crew"" mantra four times during the flight? Speaking of the crew, they might want to consider that their primary role is to assist passengers. I asked for a glass of bottled water to take my heart medication. Her response? ""I can't help you, but you can pay $4.00 or drink tap water."" It wasn't about the four bucks; it was about the complete lack of empathy and urgency, especially when I explained that tap water wasn't an option due to my medical condition. Sure, I'd bring my own water onboard if I could, but thanks to Australian regulations, that's a no-go. For medical reasons, the crew should consider making exceptions or providing assistance.  The crew's customer service skills and smiles were about as rare as a blue moon. Upon landing in Sydney, the baggage ordeal was a two-hour-long spectacle. No announcements, no apologies. They even managed to announce the wrong baggage belt twice before passengers had to play detective to locate their belongings. It was absolute chaos – more circus than a well-oiled operation. The only reason I'm being generous with a 1 and not a 0 is because the aircraft did land safely. But if you're looking for a magical, circus-like experience, Jetstar might be your ticket.",Boeing 787,Solo Leisure,Economy Class,Ho Chi Minh city,Sydney,,September 2023,1.0,1.0,2.0,1,no,1.0,,1.0
2023-09-25,1,Australia,Trip Verified,"""This airline is a nightmare""","This airline is a nightmare. Initial leg from Sydney to Adelaide was cancelled via text message at 2am in the morning for a 6am flight, we had to wait until 5pm that evening. Flight was packed and staff were clearly overstressed and very unhappy. One hostess on the plane bit my head off for asking a simple question about where they were taking my bag. Flight was also delayed as a replacement staff member had to be flown in. Return trip from Adelaide 3 days later also cancelled. We ended up getting a refund and booking a flight with REX who were totally awesome.",,Solo Leisure,Economy Class,Sydney,Adelaide,,September 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2023-09-25,1,New Zealand,Trip Verified,"""worst company I've ever traveled with""","On my first flight with them I had a delay of more than 14 hours. Also, now they lost my luggage when I arrived in Queenstown. It's been 5 days and they still don't know where my suitcase is or give me any information. It's the worst company I've ever traveled with.",,Solo Leisure,Economy Class,Melbourne,Queenstown,,September 2023,3.0,3.0,1.0,1,no,,,
2023-09-20,1,Czech Republic,Trip Verified,"""I am disgusted""","To this day they have not been able to send me my itinerary. It's been almost a month. It has not only complicated my trip because they couldn't find me in the system, but also my vacation because I couldn't apply for my visa in time (I need to prove my return ticket). I tried in vain to find some contact, it always redirected me to some online chat which absolutely does not work. I couldn't find any email. Terrible! Food on the plane disgusting and expensive. I am disgusted!",,Couple Leisure,Economy Class,Christchurch,Denpasar,Melbourne,August 2023,1.0,2.0,1.0,3,no,1.0,,
2023-09-19,1,Canada,Trip Verified,"""Will never use it again""","Airline staff very rude, not able to help and cannot check in luggage to the final destination. I am flying international and will have to pick up luggage in the connecting airport and re-check, running a risk of missing the connection. The ticket was purchased with Air Canada and included the whole itinerary. It is an airline that is not connected to any other and have very strict rules for checking in and boarding with very rude and unhelpful staff at the check in counter. Will never use it again",,Solo Leisure,Economy Class,Sapporo,Osaka,,September 2023,2.0,2.0,1.0,1,no,,,
2023-09-18,1,Australia,Not Verified,"""I won't be flying with them again""","Beware not to question Jetstar's money-making tactics. Staff have a zero tolerance policy to questions and will happily inflate a situation and make a scene at the gate to make you out to be the aggressor, even after you paid them their money (the $65 charge for kilos is for real). They back their aggressive staff behaviour rather than their unsuspecting customers who try to calm them down! No one deserves this kind of treatment after paying (twice) for a service. I won't be flying with them again.",,Couple Leisure,Economy Class,Gold Coast,Sydney,,September 2023,3.0,3.0,1.0,1,no,,,
2023-09-14,1,Australia,Trip Verified,"""Delay for 4 hours""","Delay for 4 hours yet when I about to board the plane, they announced another delay. No estimation time. Bad, bad, bad. Don't they have extra aircraft since they are in hometown? What JetStar's CEO said is rubbish. Never fly with them again.",Boeing 787,Solo Leisure,Business Class,Melbourne,Bangkok,,September 2023,2.0,2.0,1.0,1,no,3.0,1.0,1.0
2023-09-10,1,Australia,Not Verified,"""$65 because I am over the weight""",Arrive with my hand luggage. They ask me to put my handbag on the scales as well then charge me $65 because I am over the weight. This is the kind of unfair service that puts people off these budget airlines,,Solo Leisure,Economy Class,Adelaide,Darwin,,September 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2023-09-10,1,New Zealand,Not Verified,"""crew look depressed and stressed""","Sixth flight on Jetstar and every time it has been delayed. Jetstar has no customer service, you ask their people a question and they look at you as if you are wasting their time. I am going to pay a bit more and go with Air NZ at least I will be able to get there on time. Their hospitality on board is outstanding. Jetstar crew look depressed and stressed. Go figure.",,Solo Leisure,Economy Class,Auckland,Dunedin,,September 2023,2.0,1.0,1.0,2,no,,,1.0
2023-09-04,1,Singapore,Not Verified,"""no customer service at all""","Jetstar being a budget airline should not raise too high expectations and also I have very low expectations on any budget airline. However, there are budget airlines providing at least a minimum of convenience and there is Jetstar which doesn’t even provide you online check-in on international flights since so many years. Even AirAsia is capable of providing that. Instead Jetstar makes you lining up at the airport for an hour just to complete your check-in … and this is the year 2023. Despite that, no customer service at all.",,Solo Leisure,Economy Class,Denpasar,Singapore,,September 2023,3.0,2.0,1.0,2,no,1.0,,
2023-09-04,1,Australia,Trip Verified,"""Show service and empathy""",Need to focus on customer service and not all the fine print in terms and conditions. Show service and empathy Jetstar.,,Family Leisure,Economy Class,Sydney,Melbourne,,September 2023,2.0,3.0,1.0,1,no,1.0,1.0,2.0
2023-09-01,1,Canada,Trip Verified,"""Very poor customer service""",Terrible airline! Will never fly with them again & would not recommend. Had 2 flights and both were delayed. Caused me to miss a connecting flight. Airline refused to accept responsibility or assist causing me to have to pay for a whole new ticket. Second flight was delayed over an hour. No announcement regarding the delay. All in flight food & beverages are for charge. Very poor customer service and response when talking to people directly and when using the chat feature.,,Solo Leisure,Economy Class,Sydney,Auckland,,August 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2023-08-30,1,Australia,Trip Verified,"""Never ever will I fly JetStar again""",Originally was meant to go Gold Coast to Adelaide. Arrive at airport. Get a text the flights been cancelled. No more flights from that airport for 6 days they transfer me to Brisbane (had to stay the night and fly the next day) book 2 new flights as it’s now needed to be a connecting via Melbourne with a 2 hour stop over. Wake up the next morning. About to head off to the airport. They text to say the new flights have been cancelled. ABSOLUTE JOKE OF AN AIRLINE. Never ever will I fly JetStar again and I will tell every living sole on earth not to. The staff at GC JetStar were really great and did the best they could.,,Solo Leisure,Economy Class,Gold Coast,Adelaide,,August 2023,1.0,1.0,3.0,1,no,1.0,1.0,1.0
2023-08-15,1,New Zealand,Trip Verified,"""What a horrible service""","Missed the flight as the plane took off 10 min before departure time. No announcement, no warning. Just because they can. Then, when trying to re book, most of the staff were extremely short, rude, with an attention span of 3 seconds. The gate number printed on the boarding pass, was of a non existent gate. Yes, you've read correctly. Added to stress. Gate number shows up on the board 10 min before gate closes. Hired a vehicle while booking the flight, to find out at the car rental company that the charge is double and Jetstar hid that information. What a horrible service. Never again",,Solo Leisure,Economy Class,Melbourne,Gold coast,,August 2023,1.0,1.0,1.0,1,no,,,
2023-08-11,1,Malaysia,Trip Verified,"""Most unreliable airline""","Most unreliable airline. At 6pm, less than 12 hours to our flight, Jetstar sends a text message to say our flight is delayed due to “technical requirement”. I went straight to their website and saw that they were still selling tickets at the original time for almost triple the price! It’s obvious they are moving us around to get more business! We had booked the time of the flight so that our baby can nap! Now she is going to miss her nap at the beginning of our holiday!",,Family Leisure,Economy Class,Penang,Singapore,,August 2023,1.0,1.0,1.0,1,no,,,
2023-07-31,1,United States,Not Verified,"""Most terrible experience""",Never again! Most terrible experience. No carry on bag allowed! I will never fly this airline again. Prefer to pay a little more but treated with respect.,,Solo Leisure,Economy Class,Osaka,Tokyo,,July 2023,1.0,1.0,1.0,1,no,,,
2023-07-28,1,Australia,Trip Verified,"""Cancelled flights last minute""",Horrible customer service. Cancelled flights last minute then only alternative option given landing changed my arrival time from 9am to 3:00pm with a four hour stop over. They refused to check bags through so I had to go through the entire check in service and security check again after having to wait a few hours outside before I could even check in again. Checking in took a ridiculous amount of time. Honestly horrible customer service what an absolute shower of a day. I had to cancel multiple pre booked thing due to this and no apologies given by the airline.,,Solo Leisure,Economy Class,Brisbane,Melbourne,,July 2023,1.0,2.0,1.0,1,no,,,
2023-07-24,1,Australia,Trip Verified,"""still haven't got my refund""",Do not book with this airline. Cancel flights and they do not care how get to your destination to the point they direct you to another airline! The most absolute rude and unhelpful staff. I still haven't got my refund for the cancelled flight 10 days later. Dirty planes. Never again.,,Solo Leisure,Economy Class,Melbourne,Cairns,,July 2023,,,1.0,1,no,,,
2023-07-20,1,Australia,Trip Verified,"""disappointed with the service provided""","I was supposed to travel on 14/05/2023, from Brisbane to Adelaide. I got a message on 14th May morning unexpectedly stating the above flight has been cancelled.  I made a call to the customer center requesting any flight to reach Adelaide by Sunday night or Monday morning as to get into my work on Monday. My friend who travelled with me had the same issues as well. But Jetstar could not provide me with a proper solution to tackle the above situation. So I was forced to take another available flight by myself suddenly and had to pay an extra amount. I am disappointed with the service provided.",,Solo Leisure,Economy Class,Brisbane,Adelaide,,May 2023,1.0,2.0,1.0,1,no,,,
2023-07-17,1,Indonesia,Not Verified,"""Unbelievably poor customer service""","The worst experience. I will never fly with this airline again. Very not recommended. My family of 9 went from Sydney to Melbourne (2 ways with same airline). Our flight from Syd to Melb was actually good. We flew with kid (not infant, 2 yo paid ticket) and we brought a foldable cabin size pram with no bag, so it couldn't go into the cabin and must be given to the staff at the gate, free of charge. Which is common on most airlines. The ground staffs in Sydney were friendly. But the flight back from Melbourne to Sydney was a nightmare. The flight delayed for hours, after our original flight was canceled a day before. We were not allowed to check the pram in at the gate. The ground staffs weighed all of our carry-on luggages at the gate, including the pram. So the pram was counted and it caused us to exceed the cabin weight limit. We complained because the pram was not an issue on our previous flight. It's weird and unreasonable because how come the rules in Sydney and Melb are different. But the staff did not accept the complaint and gave us 2 non-negotiable options. 1. Pay the extra charge (double from the normal price) or 2. If we are not willing to pay the charge, they will move us to the next flight for us to checked in the pram but it will cost us more money. We often travel with kids and never have a disappointing experience like this. It was obvious they want to upsell us so bad. We feel scammed. Some staff were rude and arrogant. The way they talked to us from the beginning was disrespectful and intimidating. And one of them kept complaining about our not-so-loud kids. I mean, what did you expect from kids who are bored to tears because they have been waiting for your delayed flight too long. Unbelievably poor customer service. What a shame.",,Family Leisure,Economy Class,Melbourne,Sydney,,July 2023,2.0,3.0,1.0,1,no,,,
