Airline,Review ID,Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity,Aircraft
cebu-pacific,885204,2024-01-08,2,Philippines,Not Verified,"""online check in line is always so much longer""","I don’t understand why the online check in line is always so much longer than the regular check in line. Also, why offer a smart check-in option only to get a piece of paper printed out saying “please take boarding pass from the check in counter”. This airline needs better and more efficient way of checking people in.",Solo Leisure,Economy Class,Narita,Clark,,January 2024,4.0,3.0,4.0,4,no,,,,
cebu-pacific,884947,2024-01-05,2,Netherlands,Not Verified,"""Horrible service and attitude""","Was told my flight is canceled. I had to book a new one and was told I can request a refund. Did exactly this. Then I was told it’s actually not canceled. I already made a lot of extra costs (Extra hotel nights, and new booking). They were ‘happy to announce’ it was not canceled. I explained them they told me it’s canceled. I shown proof. They didn’t care. So I booked double. And they do not bother to refund or anything. Horrible service and attitude!",Solo Leisure,Economy Class,Cebu City,Manila,,January 2024,3.0,3.0,3.0,2,no,4.0,1.0,1.0,
cebu-pacific,884338,2023-12-31,1,Singapore,Trip Verified,“Always delayed”,"Always terrible without a hint of apology. Always delayed all the time I fly with this airline. Boarding time per boarding pass is 6.40pm - it’s now 7.15pm, still nothing.",Solo Leisure,Economy Class,Singapore,San Jose,Manila,December 2023,1.0,1.0,1.0,1,no,,,,5J806
cebu-pacific,883296,2023-12-20,2,United States,Trip Verified,"""terrible in so many ways""","I have flown with Cebu Pacific several times in the past, but this last trip was terrible in so many ways. All airlines are getting more cramped because of added seats and carryon luggage, but if you are located in the back by the CR don’t plan on sleeping. Very noisy with a terrible smell. It is bad enough that all food must be paid for in advance or on the plane. My wife asked for coffee twice (on 3-hr flight) and never received. This crew was not receptive at all. Next time I fly I will be seeking out other airlines who have better customer service",Family Leisure,Economy Class,Bangkok,Manila,,December 2023,1.0,1.0,3.0,2,no,1.0,,,
cebu-pacific,882486,2023-12-11,1,United States,Trip Verified,"""wait in the check in line for over an hour""","We arrived at the Bohol-Panglao Airport 2.5 hours prior to departure. The check in counter had 5 lanes open, and about 15 groups ahead of us. We did the online check in, and used the kiosk to print our bag tags. Did this save us any time? No.  We had to wait in the check in line for over an hour waiting on other passengers to adjust their bags to avoid paying extra baggage fees - if it was one group I would understand, but it was every single one of them, and the gate agents did nothing about this. Instead they played on facebook. When it is finally our turn the gate agent says we did the bag tags wrong and re does them the same way I did. He sends the first 2 bags to be loaded and continues to the next 2 bags. On the second 2 bags he puts a transfer ticket on them without telling us that he forgot to on the first 2 bags. We noticed it but he didn't think we did. After going thru security, we talked about it and came to the conclusion that we needed to talk to someone. We couldn't afford for these bags to be delayed so we asked the security agent who we should talk to. He directs us to go back thru security and talk to the supervisor. We asked 2 people for a manager, they refused to get a manager and offered to help themselves. When we expressed our concern they offered to check our bags and they went to the sorting area and came back stating that our bags have already been sealed and cannot be checked. We then went to a security manager to express our concern and we were able to finally talk to the desk manage. He told us he could pull the bags to check, but I'd he did, they will probably not make the flight.  We arrive to Manila and departed the plane and took a bus to terminal 3. We noticed that many passengers were not getting off the plane so we asked a stewardess if this bus was for transfers and she said yes, so we proceeded. We arrived on the bus in terminal 3 at the baggage claim and needed to be at terminal 4. Confused and short on time to catch our connecting flight we found the transfer desk after having to ask for directions. The agent at the counter didn't look up from her phone until we started filming and threatening to put the video on social media. Only then did she show us where the transfer bus was. We get to another agent at the bus transfer depot and he informed us that the bus had just departed and it would be at least 30 minutes till the next one, and by then we would miss our boarding cut off. He first tells us that we need to exit the terminal and take a cab. We asked if there is another option, because we really don't have time to go back thru security. He informed us that Cebu Pacific has a private shuttle they can call and that I need to go back to the transfer desk to make the request. I get back and the agent we spoke to before agreed to call this transfer. After about 15 minutes the shuttle arrived . We were then told that the shuttle does not have permission to take us thru the airport to get us to the other terminal, and we would have to exit the airport and drive around. We arrive at terminal 4 and still have to go thru security. We arrived 5 minutes before our scheduled departure time. when we arrived at terminal 4 we found out that our plane was delayed by 30 minutes, so the stress.",Couple Leisure,Economy Class,Panglao,Caticlan,Manila,December 2023,1.0,2.0,1.0,1,no,1.0,1.0,1.0,
cebu-pacific,882063,2023-12-05,1,United Kingdom,Not Verified,“Absolutely terrible”,They messed about getting us loaded then we missed our departure slot. Flight was meant to leave at 6.10pm and we are still on runway at 6.45pm. It's the same every time with this airline. Absolutely terrible.,Business,Economy Class,Manila,Butuan,,December 2023,2.0,1.0,2.0,1,no,1.0,1.0,1.0,
cebu-pacific,881725,2023-12-01,6,Netherlands,Trip Verified,"""not bad for the price paid""","I flew 3 routes with Cebu Pacific Hanoi to Manila and Manila to Caticlan v.v. The hard product is fairly standard for an Asian low cost airline. A well kept A321/320 with a tight seat pitch and no recline and a decent crew. What makes it quite an adventure is their passengers. Any flight I took with this airline started and ended in a chaos. People dragging way too much luggage into the cabin, people seemingly clueless where their seat is while blocking the aisle and frustrating the boarding process. The crew is helpless, but tries to keep cool. While preparing the cabin for departure several people start using the toilets meaning that during taxiing people are in the aisles. The flights are uneventful, although the last landing at MNL was quite rough. All in all not bad for the price paid, but an experience. When Cebu Pacific would pay more attention to their own cabin luggage criteria it would be much smoother. Butit is at least not as bad as described in some of the previous reviews",Solo Leisure,Economy Class,Hanoi,Caticlan,Manila,December 2023,3.0,4.0,2.0,4,yes,,,,A320
cebu-pacific,879703,2023-11-11,6,Australia,Trip Verified,"""Overall I am satisfied"" ","I was well aware of all the mixed reviews this airline has been getting and was not expecting much as it is a budget carrier. MEL-MNL was delayed by 4 hours as bad weather in Manila delayed the inbound plane, was handed over a meal card to spend while waiting. New and quiet aircraft, seats don't recline, though they are already somewhat recline, Pre-booked meals are expensive thank God you can buy snacks onboard. MNL-MEL ontime, boarding - there is no process really apart from the Elders and Adults with child boarding 1st. Again same type of aircraft, Middle toilets were not working and they have to attached plastic liners for passengers to throw their rubbish, very unsanitary. Overall I am satisfied as long as their is no drama, they are Non-Stop and because this is last minute, the Fare difference from legacy carriers was a factor for me.",Solo Leisure,Economy Class,Melbourne,Manila,,October 2023,2.0,3.0,3.0,4,yes,2.0,,,A330Neo
cebu-pacific,879185,2023-11-07,1,Australia,Trip Verified,"""customer service is shockingly bad""","My recent experience with Cebu Pacific Air was nothing short of a nightmare. They lost my luggage and left me without my belongings for an entire month during my holiday. They failed to follow proper procedures when I reported my lost luggage, showing a complete lack of care and professionalism. To make matters worse, they made the compensation process a convoluted and frustrating ordeal, and to this day, I've received no compensation. Their customer service is shockingly bad, and it feels like they want customers to give up and accept their negligence. Cebu Pacific Air may be a budget airline, but their cost-cutting measures come at the expense of customer satisfaction. I will never travel with them again. If you value your peace of mind, consider better options and steer clear of this airline.",Solo Leisure,Economy Class,Melbourne,Seoul,Manila,June 2023,1.0,2.0,1.0,2,no,2.0,1.0,1.0,
cebu-pacific,874502,2023-09-27,1,Philippines,Trip Verified,"""We will never fly this airline again""","This company has the worst customer service. I purchased a ticket for my fiancée and put the wrong birthday by accident. I tried to change the birthday info online but it was greyed out so I couldn't fix it, even though Cebu Pacific posted their policy which allows changes to the birthday up to 2 hours before flight. I tried to look for a customer service number and called several of them but all of them throughout the world are automated answering services. So I had no choice but to purchase a second ticket. My fiancée explained the situation to the ticket agent at the airport and the agent said no problem you can just go to the customer service office and get it fixed. The only problem, the customer service office was closed! And when I disputed the charge with my credit card company, Cebu Pacific managed to twist this whole thing around and state I have no rights to a refund due to their ""No Cancellation Policy"" We will never fly this airline again! Such a simple issue uncovered layer upon layer of the ""screw the customer"" scam that Cebu Air has carefully crafted to ensure that you get screwed and have zero consumer rights!",Solo Leisure,Economy Class,Manila,Ho Chi Minh City,,August 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0,
cebu-pacific,873874,2023-09-23,1,United Arab Emirates,Not Verified,"""worst airline ever"" ","Flight got cancelled, no refund but only voucher. Asked to use same amount for luggage allowance, not permitted. Had in total 8 flights within last 20 days with same luggages via different airlines and only cebu pacific asked for extra payment. Was ok to pay and during return flight I was told to pay for all my hand carries although we had exactly same amount of luggages with same kg that we had at the time of arrival. No one knows what the standard is and doing their own thing. Never again, worst airline ever.",Couple Leisure,Economy Class,Busuanga,Manila,,September 2023,,,1.0,1,no,,,,
cebu-pacific,871511,2023-09-07,1,Japan,Not Verified,"""Cebu keeps running me around""","I travelled to Bali, Indonesia from Fukuoka Japan and paid for my luggage the checked on. When i arrived the Bali, Indonesia I arrived without my paid check bags it was left in Fukuoka. It took Cebu 5 days to return my luggage to me during that time i had to buy clothes and hygiene items. To retrieve my luggage i had to commute from Gili Trawagan Island to the airport in Denpansar. I would like my refund for the check bags, compensation for the money I spent in Indonesia for Clothes and Hygiene Items, and a refund for my travel cost to travel to the airport to retrieve my luggage. In total its a reasonable price of $312USD. I have sent it all forms and receipts of everything purchase due to the loss of luggage. I have done this over 14 times with Cebu through the Facebook message as well as the email but each time I am told i will get and update in 48hrs but every 48 hours i and redoing the same thing and have the same conversation with a different representative. Cebu keeps running me around.",Couple Leisure,Economy Class,Fukuoka,Bali,,June 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0,
cebu-pacific,869916,2023-08-27,1,Greece,Not Verified,"""ended up paying my surfboard 4 times""","I booked with Cebu Pacific a flight from Manila to Siargao. I paid extra for my surfboard equipment. In Manila they charged me again for my surfboard, saying that what i booked wasn’t for surfboard but for extra luggage when there is no other option in their website! Same happened to my way back from Siargao to Manila. I ended up paying my surfboard 4 times. No refund whatsoever. Never flight with this airline, they will rip you off.",Couple Leisure,Economy Class,Manila,Siargao,,August 2023,1.0,1.0,1.0,1,no,,,,
cebu-pacific,869555,2023-08-24,2,Canada,Not Verified,"""Cebu Pacific lost my luggage""","Cebu Pacific lost my luggage after making me check it in on my return flight. Flights delayed, small aircraft, no communication, everyone's trying but no one clearly tells you what to expect. Did not bring my luggage on the aircraft and ended up having it shipped to my connecting flight in Thailand, 12 days after I had left the Country and had to purchase everything again. Today, it's been 7-months since I've come back. After 80 emails in this ongoing thread to dispute and get my compensation for the lost luggage, no response after 1.5 months. Very unreliable, I just hope someone would give me a status on my flight.",Couple Leisure,Economy Class,,,,February 2023,2.0,2.0,1.0,1,no,1.0,1.0,1.0,
cebu-pacific,868574,2023-08-17,1,United Arab Emirates,Not Verified,"""Everything about this airline is bad""","Everything about this airline is bad! They don't provide food for free and don't accept credit card to pay anything. The seat is very uncomfortable, and the service is bad. The transfer in Manila airport was in a mess. They did not deliver my baggage with me. They refused to deliver the baggage to my address (where I live is very far from the airport). I asked for compensation of my baggage, but they haven't replied to me though many days have passed.",Solo Leisure,Economy Class,Hong Kong,Dubai,Manila,August 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0,
cebu-pacific,866517,2023-08-04,10,United States,Trip Verified,"""definitely be flying them again""","We had great experience with Cebu Pacific. They have great customer service. We arrived at 7am for our 12:55pm flight from Cebu to Manila because we came from Badian, Cebu and wanted to make sure we missed traffic. The assistant at the desk offered to get my family of 5 on the 8:30am flight instead of waiting for 6 hours at the airport. We were so grateful to get to our final destination sooner. They gave water and snacks when boarding for efficiency since it was only a 1 hour flight. We will definitely be flying them again. Thank you Cebu Pacific!",Family Leisure,Economy Class,Cebu,Manila,,August 2023,5.0,5.0,5.0,5,yes,5.0,,,
cebu-pacific,865034,2023-07-26,1,Philippines,Trip Verified,"""booked 4 flights all were cancelled""","Rude staff. Worst service I have booked 4 flights for July, all were cancelled. Now we have to fly via Manila. I travelled with my sister and we placed our hand carry together in one cabin size luggage that weights 10kgs and they did not allow that even though we dont even have extra personal bags (only 1 cabin luggage for the two of us that didn’t even exceed 14kg as we are allowed to have 7kg each). They still asked us to separate it and carry 5kg each. How stupid.",Family Leisure,Economy Class,Zamboanga,Cebu,Manila,July 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0,
cebu-pacific,864731,2023-07-24,1,Philippines,Not Verified,"""never paid us back the money""",So we accidentally booked extra weight and did put and credit card or debit card and didn't pay for it. At Sydney airport they made us pay 100 aus saying we didn't pay for it as we didn't use the weight and the staff of cebu pacific said we would get our money back as we land in Manila. In a normal case they should have given us our money back but they didn't and said there staff at Sydney airport misguided us and never paid us back the money.,Family Leisure,Economy Class,Sydney,Manila,,July 2023,1.0,2.0,1.0,1,no,1.0,1.0,1.0,
cebu-pacific,863598,2023-07-17,3,Vietnam,Trip Verified,"""a huge thanks to the crew""","I thought I knew what I was buying, a ticket for a very reasonable price - especially with carry-on only - on a low-cost airline, so I didn't really have expectations. However, this was my first time travelling long-distance on such an airline and not the usual max. 2-hr flights. And this made a huge difference. My seat was 4J, in the front, by the window, close to the toilet, but not too close. This was all fine. But an 8+ hr long flight with 7 restrooms only, for 436 seats, probably not enough. The quality of the seats, the restrooms were so worn-off and broken that I didn't really feel comfortable (though I'm not picky at all, but the restroom was a real experience towards the end of the flight). No entertainment (TV or music), of course, seats are not too comfortable either, but at least you can order food on board. Pretty limited selection in food unless you pre-order (strongly advised), drinks, snacks...but as it happened in my case, only 2 machines to pay by card, in my case BOTH broken. No local peso with me (why, if I'm flying out), and no USD (why, if I'm European, travelling home). Since we figured this out after my order of coffee, after a little while, I was told, it was on the company, but a few hours later I was thirsty and hungry, so I asked about opportunities to get a noodle pack and water. Since they said the company likely won't allow it, the flight attendants shared their own meal pack with me (noodle pack) and I got from their water. Interesting approach from the airline, but a huge thanks to the crew. Only a question, how come nobody checked the machines before taking off? (I flew with Cebu from Saigon to Manila before, short enough flight, so on shorter distance, I would probably take them again, but I would suggest / consider other options for 3+ hr flights).",Solo Leisure,Economy Class,Manila,Dubai,,June 2023,3.0,5.0,4.0,3,yes,3.0,1.0,1.0,A330-300
cebu-pacific,863490,2023-07-17,8,Philippines,Trip Verified,"""the price I paid was a steal""",Legazpi (DRP) to Sydney via Manila. Before purchasing ticket I know my expectations about Cebu Pacific being a LCC. DRP to MNL flight was on-time while MNL to SYD was slightly delayed which is normal for flights out of MNL. Pre-ordered meal was ok as well as the on-board service. Now what I like the most was the price I paid which was a steal. I will keep using Cebu Pacific both local and international as a cheaper alternative.,Solo Leisure,Economy Class,Legazpi,Sydney,Manila,June 2023,3.0,4.0,5.0,5,yes,4.0,,,A330
cebu-pacific,862861,2023-07-14,4,United Arab Emirates,Trip Verified,"""Till now i didn't get yet my baggage""","I have connecting flight from DXB-MNL-RXS. The flight was delayed for more than 2 hours. When i reached to domestic flight transfer Helpdesk one of the staff took my bagage and I go directly to departure entrance to get in on the flight to Roxas. When i reached Roxas my baggage was left behind on the airport, and they are saying i will get my luggage by the next day but till now they said my luggage is missing in manila airport.. Till now i didn't get yet my baggage.",Solo Leisure,Economy Class,Dubai,Manila,,July 2023,5.0,4.0,5.0,5,no,,5.0,,
cebu-pacific,862713,2023-07-13,1,United States,Not Verified,"""my luggage was left behind""","I booked a flight to Manila to Surigao and as soon as I arrived at the airport the flight got delayed. When I arrived to my destination, I was later informed that my luggage was left behind due to too much weight capacity in the airplane. Not only did they fail to inform me before regardless of the delay of the plane, they also made it so that we, the passengers, had to adjust to the timing of when our baggage was going to arrive despite our completely packed schedule. I don't recommend flying here.",Family Leisure,Economy Class,Manila,Surigao,,July 2023,4.0,4.0,1.0,1,no,,,,
cebu-pacific,862455,2023-07-11,1,United States,Not Verified,"""checked bags are still in Japan""",This was my first flight with Cebu Pacific and I paid to check my bags from Fukuoka and now I am in Indonesia while my checked bags are still in Japan. I was told it would be here on the next flight however the next flight has left and my bags are still in Japan. I am in Indonesia without my clothes and personal items and I cannot get in contact with anyone at Cebu Pacific. I reported it in Manila on my first stop and still haven't received any information.,Couple Leisure,Economy Class,Fukuoka,Bali,Manila,July 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0,
cebu-pacific,861997,2023-07-09,1,United States,Trip Verified,Cebu Pacific customer review,"Horrible. Cebu overbooked the flight, so they canceled my flight to Manila, and offered to rebook me two days after the fact. I would’ve missed my connecting flight.  they did not inform me of the cancellation. I discovered it “accidentally”. Decided to dump them all together, cancel the ticket, and went with AirAsia , which is much more reliable. Cebu charged me a “rebooking fee”. This, by far, was the worst airline.",Solo Leisure,Economy Class,Cebu,Manila,,June 2023,,,,1,no,,,,
cebu-pacific,861563,2023-07-06,1,Latvia,Trip Verified,"""you can only have one carry-on bag""","We decided to travel with a carry-on suitcase and a hand bag. A surprise awaited me at the last stop, Manila - Dubai. After check-in at the airport, I received the boarding card, on the way to the boarding area, we were stopped by some people, they did not look like employees and did not allow us to go to our gate, they told us to go to hand over the luggage. I was at a loss as to why I had to return my hand luggage. In the end, it all ends with my ticket being taken away and being told to pay 5000, which is ~$100, on the grounds that you can only have one carry-on bag. I tried to understand why the amount is so high, no one explained anything to me and did not return the ticket until I paid.  I was shocked that they took our suitcases and then called a completely incomprehensible amount and made us pay it, only after paying they gave us flight tickets in check format. I will never fly with this terrible company Cebu Pacific again.",Solo Leisure,Economy Class,Manila,Dubai,,July 2023,2.0,1.0,1.0,1,no,1.0,1.0,1.0,
cebu-pacific,859416,2023-06-25,1,Poland,Trip Verified,"""I opted for their refund""","My previous flight was not pleasant. I had to hold my pasta and water the entire flight because the fold-out table was broken. Fast forward to 2023, I was supposed to fly to Ho Chi Minh, Vietnam but as usual, they canceled my flight without any reason. On the next day, they moved my flight to a late-night one saying that they are trying to fill that one. I did not accept the changes simply because I am a solo female traveler. I opted for their refund, and to my surprise, my 13k flight is down to 9,500php. What type of sorcery is it? I reached out to their chat support because they don't have an outline number, and the agents (4 agents told me that the processing fee is non-refundable). They told me just to accept that late-night flight, the agent was unresponsive and lazy. By the way, there's no assurance that I will be able to get my refund within 2 months. Just like what they did during the pandemic. The long refund process is their way of telling you to place another booking because your money is now ours.",Solo Leisure,Economy Class,Manila,Ho Chu Minh City,,December 2022,,,,1,no,,,,
cebu-pacific,858411,2023-06-18,9,Singapore,Not Verified,"""thank her for the kind hospitality""","My wife and I checked in at Counter B-03 and we were greeted by a very friendly staff today at about 5.20 pm. After verifying our tickets, she even offered us a packet of peanuts that we love so much. We didn’t ask for her name but we really want to thank her for the kind hospitality!",Couple Leisure,Economy Class,Cebu,Singapore,,June 2023,4.0,4.0,4.0,5,yes,,,,
cebu-pacific,857423,2023-06-13,1,Philippines,Not Verified,"""Disgraceful and shocking service""",Our first was cancelled and rescheduled 5 hours later. It left Manila 2 hours late. We landed in Davao and waited for 40 minutes before we finally were able to get off plane. Yesterday our return flight to Manila was cancelled by Cebu Pacific. Disgraceful and shocking service. We along with so many others will never use Cebu Pacific again.,Family Leisure,Economy Class,Manila,Davao,,June 2023,1.0,4.0,1.0,1,no,1.0,,,
cebu-pacific,856910,2023-06-10,1,United States,Trip Verified,"""poor cabin climate control""","As a foreign American passenger, it doesn't get any worst flying with Cebu Pacific and in my honest opinion is probably the worst airline experience I have ever had in my 54 years of life. There were numerous delays, unclear update status, and ""EXTREMELY"" poor cabin climate control. I was literally sweating in my seat whiles waiting for the pilot to perform his pre-flight checks and waiting an unusually long time for the pilot to taxi onto the runway. There were no snacks unless it was paid for and from what I remember, even when flying with Philippines Airline it was provided to passengers free of charge even during my previous short flight. If things don't change with Cebu Pacific, they will follow the path of other bankrupt airlines.",Solo Leisure,Economy Class,Manila,Bacolod,,June 2023,1.0,4.0,1.0,1,no,1.0,1.0,1.0,
cebu-pacific,856732,2023-06-09,3,United Kingdom,Trip Verified,"""Worst experience with an airline""",Worst experience with an airline. The flight was delayed and we were informed whilst that the aircraft has ‘remarks’ which is a technical term layman cannot understand. Apparently there was something wrong with the aircraft which they tried to fix but they were unable to hence we had to use another plane. My only concern is why was the plan only checked when we already boarded and currently in the coaster literally waiting to go in the plane. If it was not safe to fly that specific plane wouldn’t it be better to check it properly than rushing because the passengers are waiting? Why wait for an hour before deciding to change plane? Is it not possible to keep the passengers informed. We had a 14 hours flight from London to Manila and everything went smoothly. I was expecting this Manila-Laoag (1hour) flight to be hassle-free but it was the exact opposite. We waited far longer than the flight time.,Couple Leisure,Economy Class,Manila,Laoag,,June 2023,2.0,2.0,2.0,1,no,,,,
cebu-pacific,856693,2023-06-08,1,United States,Trip Verified,"""Filthy cabins and seats"" ","Terrible service. Consistent delays with vague excuses. And they will try to gouge you on the hand carry weight limit, so make sure hand carry is under 7kg to be safe. Filthy cabins and seats.",Solo Leisure,Economy Class,Kuala Lumpur,Manila,,June 2023,1.0,1.0,1.0,2,no,,,,
cebu-pacific,856297,2023-06-06,1,Finland,Trip Verified,"""Absolutely worst airline"" ","Absolutely worst airline, best to avoid at all cost. Always late or cancelled, information and passenger support at airports is next to none. Gates change without notice. No compensation for delays or cancellations.",Couple Leisure,Economy Class,Cebu,Pagadian,,June 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0,ATR 72-600
cebu-pacific,855498,2023-06-01,1,Australia,Not Verified,"""Zero compensation or accountability""","Terrible experience from start to finish. Cheap for a reason, Paid an extra $400 due to all the flight disruptions. They delayed the first flight which meant I had to stay overnight in Manila and had to rebook my connecting flight from Dubai. They then delayed my flight in Manila by 4 hours which meant I would miss my connecting flight in Dubai again. Zero compensation or accountability, staff were laughing at me when I was clearly stressed. And paid $50 extra dollars for every extra - totally ridiculous and not worth it.",Solo Leisure,Economy Class,Australia,Dubai,Manila,June 2023,4.0,3.0,1.0,1,no,,,,
cebu-pacific,854516,2023-05-25,2,Philippines,Trip Verified,"""I have to pay my hand carry""","Not highly recommended. After I use my return flight, i promise not to book in this airline. Never imagined I have to pay my hand carry because it was excess as they claimed? My 1 luggage hand carry weighed 9kg (10kg minimum) but they added my personal belongings backpack? And paid 270aed.",Solo Leisure,Economy Class,Dubai,Manila,,May 2023,3.0,3.0,1.0,1,no,2.0,2.0,2.0,
