Airline,Review ID,Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
lion-air,797903,2022-08-12,1,France,Trip Verified,"""worst flight experience with Lion Air""",Never again! I had my worst flight experience with Lion Air. After more than 16h of flight from Paris to Jakarta. The flight from Jakarta to Bali had several hours of delay. No information provided.,,Solo Leisure,Economy Class,Jakarta,Bali,,August 2022,1.0,1.0,,,1.0,,1.0,no
lion-air,791510,2022-07-08,1,Indonesia,Trip Verified,"""this airline really scrapes the bucket""",Avoid this airline at all costs. They will cancel flights and not provide any information or alternative. Basically will abandon you at whatever airport they wish with no information or help. I guess you get what you pay for but this airline really scrapes the bucket.,Boeing 737,Business,Economy Class,Makassar,Denpasar,,July 2022,1.0,2.0,1.0,1.0,1.0,1.0,1.0,no
lion-air,788329,2022-06-21,1,Indonesia,Trip Verified,"""the worst customer service""","This airline has the worst customer service. When my flight got cancelled, I was told by the travel agent to contact their Customer service (CS) not knowing that Lion replaced it with a different carrier at the same time. The CS rep didn’t tell me this so I changed my flight to another with different timing. After knowing that I could actually take a flight at the same time I contacted CS again but was told that I had to pay the prevailing charges because they can only change free of charge 1x. The worst was when I tried to file a complaint - instead of assisting - a different rep made issues of semantics - saying I asked the wrong questions - hence I got the wrong answer. Isn’t it their job to give info and enlighten as well as assist inconvenienced customers?? Safe to say I may never use their services again.",,Couple Leisure,Economy Class,Semarang,Jakarta,,June 2022,2.0,2.0,2.0,1.0,1.0,1.0,2.0,no
lion-air,786728,2022-06-13,4,Indonesia,Trip Verified,"""Filthy airplane, delays""","Filthy airplane, delays, and no whatsoever interaction with the crew besides welcome and goodbye. Horrible check-in (disorganised), after boarding a delay without any explanation, with people sporadically walking in (even after take off time was well beyond), no one to be seen during the 1,5 hr flight (not to buy some water, not to mention proactively offering something). To top it the disgraceful luggage collection at Soekarno Hatta Airport, which takes ages and truly is something they should be ashamed of.",Boeing 737-900ER,Couple Leisure,Economy Class,Denpasar,Jakarta,,June 2022,1.0,1.0,,,1.0,,3.0,no
lion-air,781497,2022-05-13,1,Indonesia,Trip Verified,"""fare is far from low cost""","You literally can expect to be always delayed with Lion Air. When it’s not, it’s going to surprise you like never before. I understand that this is a low cost airline, but Lion Air’s fare is far from low cost. It costs a minimum £50 to fly 1.5h from Jakarta to Denpasar.  I need to arrive 2h before my flight but I’d have to wait for this airline to ruin my day?  I know sometimes it’s inevitable as Lion Air serves routes that other airlines don’t, but oh my goodness, it’s just not worth it.",Boeing 737-900,Solo Leisure,Economy Class,Jakarta,Denpasar,,May 2022,1.0,2.0,,,1.0,,1.0,no
lion-air,780899,2022-05-09,1,Indonesia,Trip Verified,"""avoid at all costs""","Worst company ever, avoid at all costs. Loaded a full plane with passengers on a delayed schedule. Machine and air conditioning were not functioning. Temperatures were beyond belief. Kept everyone on the plane in those conditions for 30 minutes with no respect for wellbeing of passengers. Crew acted like they knew nothing. Captain made no announcement. Proceeded to offload everyone and then provided no info for 30 minutes. Plane had technical issues and was unable to depart. Passengers were made to wait for a new plane.",,Business,Economy Class,Yogyakarta,Jakarta,,May 2022,1.0,1.0,,,1.0,,1.0,no
lion-air,761999,2021-12-12,1,Indonesia,Not Verified,"""has bad flight management""","Lion has bad flight management. They changed the schedule so many times without confirmation and I have to cancel my flight then choose another flight for a suitable schedule. Really disappointed, do not use this airline because it is really inconsistent.",,Business,Economy Class,Jakatrta,Surabaya,,December 2021,1.0,1.0,1.0,1.0,1.0,1.0,2.0,no
lion-air,759147,2021-11-13,1,Indonesia,Trip Verified,"""many problems await you if you book your flight with Lion Air""","My flights actual departure was 1 hour late, but the airline said nothing about the delay. Passengers were confused and tired waiting at the gate. On our ticket, the departure gate was D3. But without any announcement, the gate was changed to D7. I almost boarded the wrong flight (the flight from D3 was JT22, but my flight was JT42. Both heading to Denpasar, but JT22 delayed for 3 hours.). After boarding, there were 2 passengers yelling and arguing because their seat was the same. Poor communications is not only a Lion Air problem. Poor ground management, poor baggage handling, and many more problems await you if you book your flight with Lion Air.",Boeing 737-900,Solo Leisure,Economy Class,Jakarta,Denpasar,,November 2021,2.0,1.0,,,1.0,,1.0,no
lion-air,750597,2021-08-20,1,Sweden,Trip Verified,"""They sold me a fake ticket""",Booked a ticket from Bali to Jakarta departing at 7am. But there is not flight until 10am same day. They sold me a fake ticket. Missed my meeting and lost my money.,,Business,Economy Class,Bali,Jakarta,,June 2021,,,,,1.0,,1.0,no
lion-air,749440,2021-08-11,1,United Kingdom,Trip Verified,"""go with anyone else but Lion Air""","Dreadful in every sense of the word. Two flights were summarily canceled by text message in the last ten days: No apology, no reason given. Lion Air cares nothing for their passengers and customer service is non-existent. Quite apart from having our flights canceled, we paid 1.3J for PCR tests (that's about £77 each) which were then rendered useless. If you have a choice who to fly with, go with anyone else but LionAir.",,Couple Leisure,Economy Class,Denpasar,Kupang,,August 2021,1.0,2.0,,,1.0,,1.0,no
lion-air,747920,2021-08-01,1,Indonesia,Trip Verified,"""transfer you mid sentence""","The airline cant even inform you anyway through texts or emails if a flight has been cancelled. Called customer service and when it was something they didn't understand, they automatically transfer you mid sentence while you are talking and then you have to wait 10 -20 minutes for a new operator.",,Solo Leisure,Economy Class,Labuan Bajo,Denpasar,,July 2021,2.0,3.0,,,1.0,,1.0,no
lion-air,741450,2021-06-02,1,Indonesia,Trip Verified,"""manages to constantly disappoint""","Lion Air manages to constantly disappoint even when expectations are extremely low after flying with them from time to time the last four years. Planes are often canceled and almost always delayed by hours. Information is scarce and the unfortunate personnel is constantly stressed to make the best of a horribly managed airline. All other airlines in Indonesia are better. At the very least you would expect to get to where you are going, this is not always the case with lion air as they frequently cancels flights, and good luck getting refunds. If they do fly that day you can expect a delay of 1-6 hours. Again forget any compensation (which they are legally required to provide). During this inevitable delay, expect to get zero information. I'd literally go to the counter and ask if the plane will be on time 20 min before and they say yes. When I ask if the plane has arrived yet they do not know, and when they check it's still somewhere else. I then ask when it will arrive to this airport and the staff would then sms or WA the ground staff of the previous airport asking when the plane left. When the plane do arrive at the airport it will have missed any slot it was allocated and get allocated a gate on the other side of the airport. Due to low prices lion air is the only airline trafficking some destinations. Try to avoid always, pay triple to do so if you can, it's always worth it.",,Business,Economy Class,Denpasar Bali,Jakarta,,June 2021,1.0,2.0,,,1.0,,2.0,no
lion-air,722470,2020-05-04,1,Thailand,Trip Verified,"""Very bad refund policy""","Denpasar to Bangkok. Very bad refund policy due to Covid19, my flight has been canceled but Lion air refused to refund, only give a voucher valid 1 year. I do not plan to flight for 1 year so it is useless. Spent hours with customer service for nothing. Bad experience.",,Couple Leisure,Economy Class,Denpasar,Bangkok,,May 2020,,,,,,,1.0,no
lion-air,721998,2020-04-24,10,Indonesia,Trip Verified,"""Good airline for a budget flyer""","I was going with Lion Air on 17th April 2020. As usual, fast check in and punctual both departures and arrival.  Got a window seat on a 737-800 at 15F. The flight went smoothly and it was my first flight with Lion air having a flight entertainment. It uses air-Fi but still in a limited service for playing games and watching film only and couldn't browse from search engine like chrome. I wished they improve more so we can operate your internet browser and social media when in flight. The flight took me on time at arrival airport. Good airline for a budget flyer.",Boeing 737-800,Solo Leisure,Economy Class,Semarang,Batam,,April 2020,5.0,5.0,3.0,3.0,4.0,4.0,5.0,yes
lion-air,707039,2020-01-09,1,Georgia,Trip Verified,"""very rude and impatient""","Singapore to Jakarta. The people at the check in counter made it very difficult to check in our baggage. They were very rude and impatient. While we check in, the next counter employee join in to gang up on us while we repack our baggage. Really wish even budget airplanes treat their passengers with respect and care.",,Family Leisure,Economy Class,Singapore,Jakarta,,January 2020,2.0,3.0,1.0,1.0,1.0,,1.0,no
lion-air,705100,2020-01-02,1,Indonesia,Trip Verified,"""poor and not really acceptable""",Bali to Surabaya via Lombok. Lion air first duplicated my family’s boarding passes. The flight was overbooked. They then allowed me off the plane to query why and immediately locked the doors behind me. My understanding is that as an air safety rule planes are not allowed to leave with baggage without the passengers. Lion air was not concerned.  Half an hour later I was still waiting for someone to advise me as to what my next steps are. It was suggested that I buy more tickets. This is really poor and not really acceptable.,,Family Leisure,Economy Class,Bali,Surabaya,Lombok,January 2020,1.0,1.0,,,1.0,,1.0,no
lion-air,698731,2019-12-03,1,France,Trip Verified,"""Avoid at all cost""","Denpasar to Semarang. Probably one of the worst airline in the World. Delay has become a bad habit and they keep announcing delays without ever giving you the right information. Instead of being able to go to a restaurant, they make you wait announcing that you will fly in the next 20 minutes. 2 hours later you are still waiting. You are left with no food or drink that they should legally provide. Add prohibitive luggage fee (I’m not talking about excess) and you could fly a decent airline for the same price. Avoid at all cost.",ATR 72,Business,Economy Class,Denpasar,Semarang,,December 2019,1.0,1.0,,,1.0,,1.0,no
lion-air,695572,2019-11-16,7,Indonesia,Trip Verified,"""decent selection of drinks and food""","Jakarta to Jayapura with Lion Air. Flight left and arrived on time. Managed to score one of the rows of empty seats at the back, good for sleeping on this overnight flight. A decent selection of drinks and food were sold on borad, unusual for Lion!",,Solo Leisure,Economy Class,Jakarta,Jayapura,,November 2019,4.0,3.0,3.0,,3.0,,3.0,yes
lion-air,695525,2019-11-16,7,Indonesia,Trip Verified,"""Polite crew""","Kuala Lumpur to Jakarta. Plane was clean, cool and half empty. I could stretch out on a whole line of empty seats. Polite crew. No meals served or sold on board as usual with Lion Air.",,Solo Leisure,Economy Class,Kuala Lumpur,Jakarta,,November 2019,4.0,3.0,,,4.0,,3.0,yes
lion-air,692678,2019-11-01,10,United States,Trip Verified,"""Would recommend Lion Air to anyone""",Denpasar to Surabaya. I have been reading a lot of negative reviews but I booked my flight 2 days prior to flying. It was the cheapest option as budget airlines should be. On the day of the flight the flight was 2 hours delayed. They gave every passenger a meal for the inconvenience and then kept apologizing which I think went above and beyond. Would recommend Lion Air to anyone.,,Solo Leisure,Economy Class,Denpasar,Surabaya,,October 2019,4.0,5.0,,,5.0,,5.0,yes
lion-air,688092,2019-10-10,2,Indonesia,Not Verified,"""uncomfortable, no service""","I have at least 4 flights with Lion Air per month. Staff friendly, no complaints yet. Seats narrow, less legroom, for tall people a torture. No meals included, no baggage included. Additional baggage quite expensive, outrageous. The baggage fee can exceed the flight price. In all a cheap airline, uncomfortable, no service, baggage cheating by asking for high fees. No WiFi, no entertainment.",,Business,Economy Class,Denpasar,Lombok,,October 2019,1.0,1.0,1.0,1.0,3.0,1.0,2.0,no
lion-air,685700,2019-09-29,10,Indonesia,Trip Verified,"""it suits with the price""","Denpasar to Jakarta. Lion Air is better now, even they still have no free baggage but it suits with the price. The ground staff was very helpful, they print out my boarding pass and gave me front seat. The cabin is clean and comfy, their flight attendant were very helpful. The lavatory is clean. Smooth take off and the flight is on time.",Boeing 737-900ER,Solo Leisure,Economy Class,Denpasar,Jakarta,,September 2019,5.0,5.0,3.0,,5.0,,5.0,yes
lion-air,684836,2019-09-24,1,Canada,Trip Verified,"""unbelievably bad service""","Lombok to Surabaya. By far the worst airline I've ever encountered. The person checking us in didn't even look at us, she was too busy flirting with someone else. Just unbelievably bad service. Previous times I've flown Lion air have been equally as bad. Terrible customer service and the flights are nearly almost always late. I will never be flying with them again.",,Solo Leisure,Economy Class,Lombok,Surabaya,,September 2019,1.0,1.0,,,1.0,,1.0,no
lion-air,683350,2019-09-16,1,Nepal,Trip Verified,"""Terrible experience!""","Terrible experience! The airline delayed my morning flight from Denpasar to Jakarta by 4 hours and did not notify me. They do not even tell me about the delay at the check-in counter. I figure it out by looking at the time on the boarding pass! I reason with them that if I take this flight I’ll miss my connection to Kuala Lumpur. They don’t seem to care at all. All they kept saying was if you’re not happy, we’ll provide a refund. Nobody even moves a needle to help a customer out. I had to run from pillar to post to cancel my ticket, book another flight and obtain my refund. Horrible airline. They should be banned!",,Solo Leisure,Economy Class,Denpasar,Jakarta,,September 2019,,,,,1.0,,1.0,no
lion-air,682813,2019-09-12,1,Indonesia,Trip Verified,"""turns out I missed my flight""",Jakarta to Singapore. This is the most horrible experience i’ve encountered. They didn’t have any sort of organisation or communication skills towards their customers. I was waiting in line at the checkin counter almost for 30 minutes and i have been asking which checkin counter is for my flight and it turns out that it was different. When i got there turns out I missed my flight because nobody was there to help or answer my question. Never use this airline ever again,,Business,Economy Class,Jakarta,Singapore,,September 2019,,,,,1.0,,1.0,no
lion-air,682264,2019-09-10,1,Germany,Trip Verified,"""by far the worst airline""","Jakarta to Denpasar. After the flight was already 30 minutes delayed, I had to search for information myself, only to find out that there would be a delay of 45 minutes because of ""technical difficulties"". The airline's zero information policy towards its guests is shameful. Passengers are not ""customers"" at Lion Air, but simply ""numbers"". Not even the minimum requirements in the linguistic handling of passengers of other countries are met by the cabin crew. The crew speak a gaping English and can barely communicate with simple sentences. Even though the planes are outwardly standard, the care inside the planes is miserable. The cabin is dirty and more like a citybus instead of an airplane. Departure times are more of a guideline and changed at will, information will not be shared, the airline's constant delays are really ""remarkable"". On the returning our flight should have been 3 hours late without any advance information. It was not until I took a look at the boarding card that there was a different departure time than planned. Asked about the new departure time, the check-in staff member from Lion only commented: ""Yes a new shedule time ... we have technical problems with our aircraft"" ... then it would be better to rebook and return to Jakarta with another airline. As a passenger, I would like to be informed about changes to the timetable, etc. without being asked to do so and not have to do my own research first. There is also no service on board. Unless you pay. Is so far to agree with the pricing policy of the airline, but not that one can not even place his orders in English. For me it is by far the worst airline with which I have flown so far. Never again!",Boeing 737-800,Family Leisure,Economy Class,Jakarta,Denpasar,,August 2019,1.0,1.0,,,1.0,,1.0,no
lion-air,677865,2019-08-18,1,United Kingdom,Not Verified,"""we were charged outrageous prices""","Denpasar to Kuala Lumpur. We feel like the airline has been very unfair to us and so will not be looking to fly with them again. The main reason is that we were charged extortionate prices for luggage check in despite having no other option. We could not add luggage on their website, and even if we could, they would not only accept Indonesian cards for payment so we had to use an alternative booking site which gave us no option to add luggage in advance. Then when we turn up and we were charged outrageous prices, more than I've ever paid before. We complained to absolutely no sympathy. Very unhappy with the experience. Will not be looking to fly again with Lion Air.",,Couple Leisure,Economy Class,Denpasar,Kuala Lumpur,,August 2019,4.0,5.0,,,1.0,,1.0,no
lion-air,674443,2019-07-31,4,Indonesia,Trip Verified,"""A little bit delay""","Makassar to Surabaya. Searching for the cheapest on this route, but finally get this airlines, but finally realize this is not cheap enough. A little bit delay, because high traffic before take off.",Boeing 737-800,Solo Leisure,Economy Class,Makassar,Surabaya,,July 2019,2.0,3.0,,,2.0,,1.0,no
lion-air,674452,2019-07-31,4,Indonesia,Trip Verified,"""Expensive baggage price""","Makassar to Singapore via Jakarta. Expensive baggage price, and a crowded flight, The check-in took around 50 minutes, quite upset with the check-in service, but the staff is trying to do their best and help us.",,Solo Leisure,Economy Class,Makassar,Singapore,Jakarta,March 2019,2.0,3.0,,,3.0,,3.0,no
lion-air,670161,2019-07-11,2,United Kingdom,Trip Verified,"""could barely fit my legs in""","Lombok to Bali. I'm 6'2"" and could barely fit my legs in, would be impossible for taller people. Shortest leg room I've ever experienced, do not take anything other than very short flights.",,Solo Leisure,Economy Class,Lombok,Bali,,July 2019,1.0,3.0,,,4.0,,4.0,no
lion-air,656858,2019-05-07,1,China,Trip Verified,"""felt totally humiliated""",Bangkok to Krabi. My friend and I paid for return flights and hold luggage. We could not check in on-line for the return journey as their website was not working and when we got to the airport we were told we had not paid for hold luggage. Despite showing a receipt they made us pay THB 3900 and THB 3000 on our debit and credit cards or we could not fly. We both felt totally humiliated and it ruined a good holiday to end it that way. I will never fly with this airline again!,,Solo Leisure,Economy Class,Bangkok,Krabi,,April 2019,1.0,3.0,,,1.0,,1.0,no
lion-air,654788,2019-04-28,1,Singapore,Trip Verified,"""worst customer service ""","Singapore to Jakarta. The airline entered my name twice on the ticket and upon calling them they kept on asking me to ring another number, noting that not all were local numbers. At one stage I was on hold for 45min (international) before I spoke to a person and then they hung up on me! In the end they charged my $32 for removing the duplicate name from my ticket. The worst customer service I have ever experienced!",,Business,Economy Class,Singapore,Jakarta,,April 2019,2.0,3.0,,,2.0,,3.0,no
lion-air,648993,2019-04-02,1,Germany,Trip Verified,"""Intransparent baggage policy""","Bali to Labuan Bajo. Immense high cost of checked baggage. Ultimately, we paid more for our luggage than for the flights. How much is the amount, we have learned only at the airport. Intransparent baggage policy The scheme is arbitrary - even the call center is obviously not informed. It was not possible to know in advance what the costs are. Very bad customer service. To 5 E-Mail inquiries I received until today no answer. There are several service numbers that no one answers. After the 11th attempt, I finally managed to reach one of the call centers. Unfortunately nobody could help me there any more. The staff can not speak English, but that's not the problem. Even a friend from Indonesia could not get valid information from the airline. For me, that's systematic and deliberate rip-off. The fact that the flight was delayed by more than three hours and we spent a total of 8 hours at the airport is no longer significant. There are many other airlines that are not or only slightly more expensive. Save the ordeal with Thai Lion Air and Bay another flight. DE:  Immens hohe Kosten für aufgegebenes Gepäck. Letztendlich haben wir für unser Gepäck mehr als für die Flüge gezahlt. Wie hoch der Betrag ist, haben wir erst am Flughafen erfahren. Intransparente Gepäckpolicy Die Regelung ist willkürlich - selbst das Call Center ist offensichtlich nicht informiert. Es war nicht möglich vorab in Erfahrung zu bringen, welche Kosten entstehen. Sehr schlechter Kundenservice. Auf 5 E-Mail Anfragen habe ich bis heute keine Antwort erhalten. Es gibt verschiedene Servicenummern, auf die niemand antwortet. Nach dem 11. Versuch habe ich es schließlich geschafft eines der Call Center zu erreichen. Leider konnte mir dort auch niemand weiter helfen. Das Personal kann zwar kein Englisch, aber das ist gar nicht das Problem. Auch ein Freund aus Indonesien konnte keine validen Informationen von der Airline bekommen. Für mich ist das systematische und bewusste Abzocke. Das der Flug dann noch über drei Stunden Verspätung hatte und wir insgesamt 8 Stunden am Flughafen verbracht haben, fällt gar nicht mehr ins Gewicht... Es gibt viele andere Airlines, die nicht oder nur wenig teurer sind. Erspart euch die Tortur mit Thai Lion Air und Bucht gleich einen anderen Flug...",,Family Leisure,Economy Class,Bali,Labuan Bajo,,April 2019,2.0,2.0,1.0,1.0,1.0,1.0,1.0,no
lion-air,648475,2019-03-30,1,Indonesia,Trip Verified,"""could not prebook check-in luggage""","I could not prebook check-in luggage online for my flight from Bali to Bangkok. I called them (the first number on their website did not work, temp. out of order). They told me I either have to pay Rp 224.000 (22AU$) per kg at the airport at check-in; or I could prebook for just Rp 23000 (that is 10%) up to 6 hours before, but I can only do that at the airport. That is ridiculous! My luggage would cost more than my ticket if I would not go to the airport before and I would have no idea about that if I would not have called them. I know countries where this would be illegal.",,Solo Leisure,Economy Class,Denpasar,Bangkok,,March 2019,2.0,2.0,,,1.0,,1.0,no
