Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity,Aircraft
2024-01-16,1,Canada,Trip Verified,“over 7kg I was charged 50 usd”,"I will start but saying that if you are thinking of flying this airline, please don’t and pay a little extra for a better company, that doesn’t hide extra fees. I flew from Siem Reap to Bangkok, I have been travelling with a backpack that has been accepted by every single airline (as it is 40L), but because it was slightly over 7kg I was charged 50 usd and forced to check it in.",Solo Leisure,Economy Class,Siem Reap,Bangkok,,January 2024,1.0,1.0,1.0,1,no,1.0,,,
2024-01-08,1,South Africa,Trip Verified,"""not recommend using it""",I would not recommend using it. Low cost is only a joke. Add ons make them more expensive than the quality airlines like Qatar Airways. Unless you only travel with a handbag it is not worth it to use Air Asia.,Solo Leisure,Economy Class,Singapore,Bali,,January 2024,2.0,2.0,2.0,1,no,1.0,1.0,1.0,
2024-01-06,1,Brunei,Trip Verified,“be cautious with this deceptive company”,"The airline known as AirAsia is the most unsatisfactory flight company I've ever dealt with. They consistently come up with excuses to extract extra money from customers, even resorting to underhanded tactics to coerce additional ticket purchases, as explained in the instances below. Using AirAsia is a major warning sign; it's essential to be cautious with this deceptive company. This marks the second time in a week that I've had an incredibly unpleasant encounter with AirAsia. During the previous flight from Penang to Langkawi, they refused to check in our luggage, citing our arrival 45 minutes past the departure time. Despite being at the KLIA2 counter two hours in advance, successfully checking in our luggage, and passing the hand carry luggage check this time, they insisted on an additional 15 kg. However, at the counter, they refused to add the luggage, once again using the 45-minute rule as an excuse.The staff's impoliteness led to us missing the Miri flight, and we had to secure an alternative flight through Malaysian Airlines. This will be our last experience with the so-called air flight company, AirAsia, making it the most absurd encounter I've ever had with an airline in my life.",Couple Leisure,Economy Class,Penang,Langkawi,,January 2024,1.0,1.0,1.0,1,no,,,,
2024-01-06,1,Brunei,Trip Verified,"""45 minutes past the departure time""","This marks the second time in a week that I've had an unpleasant encounter with AirAsia. During the previous flight from Penang to Langkawi, they refused to check in our luggage, citing our arrival 45 minutes past the departure time. Despite being at the KLIA2 counter two hours in advance, successfully checking in our luggage, and passing the hand carry luggage check this time, they insisted on an additional 15 kg. However, at the counter, they refused to add the luggage, once again using the 45-minute rule as an excuse. The staff impoliteness led to us missing the Miri flight, and we had to secure an alternative flight through Malaysian Airlines.",Couple Leisure,Economy Class,Kuala Lumpur,Miri,,January 2024,2.0,,1.0,1,no,,,,
2024-01-06,4,Malaysia,Trip Verified,"""unprofessional and disappointing""","Encountered very rude ground staff. This is a first for me and it was shocking to see such behavior. We were a total of 5 passengers travelling together (2 senior citizens and 1 child) and had cabin luggage of 7kgs each. As we had a kid and 2 senior citizens travelling, just one of the baggages was exceeding 7kgs out of the total 4 bags we were carrying. The way the matter was handled was very unprofessional and disappointing. Will always try to skip this airlines if I have an option.",Family Leisure,Economy Class,Kuala Lumpur,Penang,,January 2024,3.0,2.0,1.0,3,no,1.0,1.0,1.0,
2024-01-05,1,Singapore,Trip Verified,"""Third time we experienced delays""","Third time we experienced delays. Crew seem confused, no clear information. Must rely on internet to learn the reality of the delay period.",Family Leisure,Economy Class,Colombo,Kuala Lumpur,,January 2024,,,1.0,1,no,,,,
2023-12-23,1,United States,Not Verified,“most unreliable and frustrating experience”,"I recently had the misfortune of booking a flight with Air Asia, and it was the most unreliable and frustrating experience I have ever had with an airline and I have flown over 2 million miles mainly on Delta. Not only do they have no live customer service agents to assist with any issues, but when their systems fail, there is absolutely no recourse for the stranded passengers. I was left stranded at the airport with no way of reaching anyone for help, and it was a nightmare trying to get any sort of assistance. It's absolutely unacceptable for an airline to operate in this manner, and I believe they should be held criminally liable for essentially stealing money from their customers. If you cannot provide the service you charged for and you do not have a live person to resolve issues with you airlines you are not operating a business. I would strongly advise against booking any flights with Air Asia, as their lack of reliability and customer service is a major red flag. Save yourself the headache and book with a more reputable airline.",Business,Premium Economy,Manila,Cebu,,December 2023,2.0,2.0,1.0,1,no,,,,
2023-12-23,1,Philippines,Trip Verified,"""Overall very poor""",I booked a Manila to Iloilo flight for 1120am. It got rescheduled due to operational issues to 730pm. Then I get another notification that it is rescheduled to 830pm. I am keeping my fingers crossed that I don't get rescheduled a 4th time though I would not be surprised. I filed a complaint on chat. The agent responded like a bot.  Overall very poor. All the prior reviews I read were not kidding.,Solo Leisure,Economy Class,Manila,Iloilo,,December 2023,,,1.0,1,no,,,,
2023-12-21,1,United States,Trip Verified,“no excuse for being so incompetent”,"I paid for ""premium"" and couldn't even use self check in. Nearly missed my flight after having to wait in line for an hour to check in because self check in wasn't working. AirAsia has no excuse for being so incompetent.",Solo Leisure,Premium Economy,Penang,Langkawi,,December 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0,
2023-12-21,2,Philippines,Not Verified,“Non-stop delays!”,"Non-stop delays! Delay over delay over delay. My flight was 4hrs delayed, but they keep on adjusting the time whenever etd comes close. They could have set a particular time and follow through on that. Might as well they give 4hrs so why not set a given time they can follow. Unprofessional!",Solo Leisure,Premium Economy,Manila,Davao,,December 2023,2.0,2.0,3.0,2,no,1.0,1.0,1.0,A320
2023-12-16,3,Australia,Trip Verified,"""paid $140 extra for that golf bag""","I checked in at counter with two of luggages, one of them is golf bag (11kg). All total weight was 20kg , which is under the limit. But the girl at counter use her mobile to check all the rules then told me that my golf bag is sport equipment, which incured a extra fee. Told her taht I've been travelling with that golf bag around Asia,no airlines charge fees. Even AirAsia didn't charge me when I flight from Singapore to Penang. She insisted and ask her supervisor, the guy even didn't listen at all and said 'She is doing her job.' To avoid to delaying the people behind me, I paid $140 extra for that golf bag.",Solo Leisure,Economy Class,Penang,Singapore,,November 2023,2.0,4.0,1.0,4,no,,,,
2023-12-14,10,Australia,Trip Verified,“excellent customer service”,Narithtra and Apiwal helped me alot during my check in even though I was misguided by airport staff they both looked after me to change my flights and provided me excellent customer service. Thank you Air Asia to have such great skilled customer service representative who looks after customer and provides great customer service.,Solo Leisure,Economy Class,Bangkok,Tokyo,,December 2023,5.0,5.0,5.0,5,yes,5.0,5.0,4.0,
2023-12-09,8,United Kingdom,Trip Verified,"""seat was comfortable enough""","Don't normally use low cost airlines, apart from Air Asia who tend to do a good job. Kuala Lumpur to Nha Trang with Air Asia offering the only direct flight, check in if you have bags is not easy but otherwise boarding was done well. The seat was comfortable enough for this short 2 hour flight. Departed on tie and arrived a little early. Returning check in much nicer experience, had pre-assigned seats with extra legroom, also ordered food on this leg which was actually fine. Departed on time arrived back in KL on time, bags off quickly great service.",Couple Leisure,Economy Class,Kuala Lumpur,Cam Ranh,,December 2023,3.0,3.0,3.0,5,yes,3.0,,,A320
2023-11-28,2,Thailand,Trip Verified,“flight attendant was very rude”,The flight was half empty and we were all seated together 3 persons 6 persons per row. We politely asked if we could change seat in order to get more space and make everyone happy but the flight attendant was very rude to us and refused for anybody to switch seats.,Family Leisure,Economy Class,Bangkok,Chiang Mai,,November 2023,1.0,1.0,2.0,2,no,1.0,,1.0,
2023-11-17,1,Malaysia,Not Verified,"""I wasted my time and money""","I am unhappy with the flights with AirAsia because in Penang I got my ticket for KL but the worker said that I could get the Phuket one from KL, she didn't even try to check things out and the weather was not well in KL so the plane went Penang to KL and Penang to KL. They said that they will help us out if we miss the plane. When we arrived to KL we had no ticket and the workers in the airport didn't explain clearly so we missed our flight and when we tried to book another flight, the worker said that it was too late to book a. 8.20 flight to Phuket when it was an hour before the fight. She gave us a flight the next day, I wasted my time and the money for a taxi and hotel.",Family Leisure,Economy Class,Penang,Phuket,Kuala Lumpur,November 2023,1.0,1.0,1.0,1,no,,,,
2023-11-10,8,Indonesia,Trip Verified,“cabin crew was friendly”,"On Line Check-In run well. No need to go to check-in desk in the airport. The plane was clean. Flight was on time (departure & arrival). Seat was a regular pitch for low cost carrier. The cabin crew was friendly. They spoke well and clear when doing the public addresses. There was no in-flight meals, normal for low cost airlines. However, they sold meals through pre-ordered or in-flight order. We landed in T2 in Soekarno Hatta airport and transfered to T1 using bus.",Business,Economy Class,Denpasar,Jakarta,,November 2023,3.0,4.0,2.0,4,yes,,,,A320
2023-11-07,1,Australia,Trip Verified,"""no way to actually speak to a person""",There is no way to actually speak to a person all the telephone numbers in all the countries I've tried go to a voicemail service.  They happily take your money when you book a flight but after that there is no way to change flights or talk to someone. There is an email type voicemail service even that they take 2 days to reply back you.,Couple Leisure,Economy Class,Perth,Bangalore,Kuala Lumpur,May 2023,,,,1,no,,,,
2023-10-25,1,Indonesia,Trip Verified,"""last time using AirAsia""",They cancel the flight schedule and gave me other day. I tried to contact AirAsia but cannot connect. The live chat was useless.  This my first time and last time using AirAsia.,Couple Leisure,Economy Class,Kuala Lumpur,Surabaya,,October 2023,1.0,5.0,1.0,1,no,,,,
2023-10-18,1,Australia,Trip Verified,"""Total disregard for passengers""","More delays. Consistently rescheduling flights, no notification to phone or email. Seat configuration minimum distance. Total disregard for passengers. A disgraceful airline one of the worst. Customer service virtually non existent.",Couple Leisure,Economy Class,Luang Prabang,Bangkok,,October 2023,1.0,3.0,1.0,1,no,,,,
2023-10-05,3,Germany,Not Verified,"""so cheap and badly put together""",The flight attendance were doing their best but the flight comfort itself was an absolute joke. The renting of the blankets for 2 euro or haggling over which food everyone got. Having to show boarding passes again and again to prove what you bought or didn't buy made the whole experience feel so cheap and badly put together. I don't think anyone was happy after that flight. 10 hrs flights with no entertainment is another invention I didn't think I'll experience. The flight itself wasn't even that cheap so I'm wondering why not charge 15 euro extra and give everyone all service they should get on such a long flight... the food prices were not even that expensive so I'm just sitting here n wondering why would anyone choose this uncomfortable situation for both the employees and all customers. I will not soon forget the flight attendant lady raising her voice at an older gentleman customer to tell him he can not change his order of food... it was bad. I didn't know before booking but will surely never book again. Might be ok for a short flight of 2 hrs or so but for long haul it left me with the worst taste in my mouth.,Couple Leisure,Economy Class,Berlin,Sydney,Kuala Lumpur,September 2023,1.0,3.0,1.0,1,no,5.0,1.0,1.0,
2023-10-02,3,United States,Trip Verified,"""delayed 2 hours arriving in Yangon""","Aircraft was delayed 2 hours arriving in Yangon. Slow boarding of bags caused another 30 min delay. The staff never explained the delay, guess it is common. People missed their connections and if they were two separate bookings on AirAsia they would be responsible to buy a new ticket. Ridiculous if you ask me when it was AirAsia's fault they missed a connection. Decent cabin service. But AirAsia's late rate along with them constantly jacking with schedules and moving flights makes me not a fan.",Solo Leisure,Economy Class,Yangon,Kuala Lumpur,,October 2023,3.0,4.0,3.0,3,no,1.0,1.0,1.0,
2023-09-27,1,Canada,Not Verified,"""rescheduled several times""",My flight was cancelled and rescheduled several times and was 36 hours after my original arrival time. This resulted in an extra hotel night and new flights at the last minute. I filed a claim from Nov 2022 and still have not received my refund. You get a bot that just runs in circle. I am not a rare case and many are in my situation. I will not stay quite on this matter.,Couple Leisure,Economy Class,Bangkok,Male,,November 2022,1.0,1.0,1.0,1,no,,,,
2023-09-26,6,Malaysia,Trip Verified,"""need some constant improvement""","The cabin of the aircraft was clean and well-maintained. The seats were comfortable enough for the duration of the flight, but legroom was modest I found it difficult to stretch my legs. There is no in-flight entertainment system. The pre-booked meal was tasty. Overall satisfied but need some constant improvement.",Solo Leisure,Economy Class,Ho Chi Minh City,Kuala Lumpur,,June 2023,3.0,4.0,4.0,5,yes,4.0,,,A320
2023-09-26,6,Malaysia,Trip Verified,"""very moderate experience""","Smooth experience from check-in until arrival. The flight is on time and proper boarding announcements and arrangements. The is no IFE but we can connect to wifi for entertainment - the Wi-Fi connection was pretty bad. The pre-booked food was good. Smooth take-off and landing. The cabin crew was super nice. Overall, very moderate experience with this airline.",Solo Leisure,Economy Class,Kuala Lumpur,Ho chi Minh,,June 2023,3.0,4.0,4.0,5,yes,4.0,,,A320
2023-09-26,5,United States,Trip Verified,"""hate their non reliability""","AirAsia is a budget airline. They seem to do ok once it’s a given that your flight will occur. My biggest complaint with them is that they constantly are changing their schedule, withdrawing flights, changing times of them etc. Out of the 12 flights I had booked with them over half were changed, some by many hours even to different days. This makes scheduling with them extremely difficult. This flight was ok, and originally a nonstop to KUL. But had to waist 3/4 of a day getting to KUL with a stopover in DMK for this flight. Seats are tiny and squished together. That’s what you get for a cheap price. Can’t fault them for that. Just hate their non reliability of any flight booked more than a week out.",Solo Leisure,Economy Class,Vientiane,Bangkok,,September 2023,2.0,2.0,4.0,5,no,1.0,1.0,1.0,
2023-09-26,6,Malaysia,Trip Verified,"""legroom was tight""","The flight is on time and proper boarding announcements and arrangements. The is no IFE. The pre-booked meal was tasty and properly served by Cabin Crew. The seats were comfortable enough for the duration of the flight, but legroom was tight and I found it difficult to stretch my legs. Smooth take-off and landing. Kudos to the flight crew. Overall, very moderate experience with many more ways to improve.",Solo Leisure,Economy Class,Kuala Lumpur,Bangkok,,May 2023,2.0,4.0,4.0,5,yes,4.0,,,A320
2023-09-26,1,Malaysia,Trip Verified,"""so many unnecessary problems""","By far the worst airlines in Asia. The customer service is made to be as long and difficult as possible. You either have to find solutions with BO chat (useless AI) or hope they respond to your email. My account got locked by AirAsia because they don't send me an OTP for verification, even though I verified myself months ago. Due to my account being locked I can not proceed to make flight changes and any other bookings for a trip I am planning. It takes 15 to 20 days to unlock my account. I asked if they can cancel all my flights instead and give me a refund because of the problem and delays they caused and I can't get my money back. I highly recommend that you should check out any other alternative airlines first before using AirAsia. It can be a smooth transaction but whenever there is a problem you are going to have so many unnecessary problems with this airlines. And you will struggle to find a real person to talk to because everything is with the AI chat system first.",Family Leisure,Economy Class,Kuala Lumpur,Langkawi,,May 2023,1.0,1.0,1.0,1,no,,1.0,1.0,
2023-09-26,6,Malaysia,Trip Verified,"""crew was polite and responsive""","The check-in process at the airport was relatively efficient, with attentive staff members assisting passengers. The boarding process, though, felt a bit disorganized. It took longer than expected, and there was minimal communication from the gate agents regarding the delay. The cabin of the aircraft was clean and well-maintained, but it appeared a bit dated. The seats were comfortable enough for the duration of the flight, but legroom was limited. I found it difficult to stretch my legs. The cabin crew on my flight was polite and responsive to passenger requests. However, the service was modest at best. But, the food was good. In summary, AirAsia provides a modest service that gets the job done but doesn't go above and beyond. If you're looking for a budget-friendly option and don't mind sacrificing some frills, this airline could be a suitable choice.",Solo Leisure,Economy Class,Denpasar,Kuala Lumpur,,September 2023,3.0,4.0,4.0,5,yes,5.0,,,A320
2023-09-12,1,Australia,Trip Verified,"""worst customer service I have experienced""","Absolute worst customer service I have ever experienced. We paid approx $1300 AUD for flexible fare tickets, tried countless times to contact them to change the dates with 10 days notice, were emailing back and forth everyday and the dates still weren't changed on the day we had to fly. There is no phone number or person you can talk to, each email is written by a different person asking the same questions and not doing anything to help you. Avoid this airline at all costs, we now have to look into how to legally get our money back but because they have no offices in Australia how is this possible?",Family Leisure,Economy Class,Gold Coast,Kuala Lumpur,,September 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0,
2023-09-11,10,India,Trip Verified,“plane was clean”,"I travelled by Air Asia recently, on an afternoon flight from Delhi to Kochi (I5 549). I had booked the ticket about 2-3 weeks in advance, and got a very good deal on it. The check-in was smooth. There was some delay at the gate and boarding had not started till the scheduled time for departure. Eventually we boarded about 15 Mins beyond the scheduled departure time. The take-off was quite perfect! However, the rest of the flight was smooth, except for one patch of turbulence. The plane was clean and the seat was comfortable. Even though my seat was in 24 row, leg space was not an issue. This flight was an exception. The cabin crew, especially Mr Zebran, were extremely attentive and polite. He made me feel like an honoured guest. Also the food quality was excellent. The landing at Kochi was smooth and the luggage arrived on time. Extra marks for the hospitable cabin crew! Kudos to the team and Obviously Air Asia. Will fly back soon",Business,Economy Class,Delhi,Kochi,,September 2023,5.0,5.0,5.0,5,yes,5.0,1.0,1.0,
2023-09-10,1,Hong Kong,Trip Verified,"""tried to change my flight booking""","I tried to change my flight booking and even downloaded the mobile app to do it, but the system did not allow me because it’s within 48 hours of the flight. What kind of rule is that? Plans change, people need to change their flights. I tried to find a contact number for customer service and searched everywhere, but was not able to find one with a live person. All I can find was a complaint line where I had to leave a message. Now I have to leave the ticket as a loss and buy a new one, I’m not buying from AirAsia.",Solo Leisure,Economy Class,Hong Kong,Jakarta,Kuala Lumpur,September 2023,,,1.0,1,no,,,,
2023-09-10,1,Canada,Trip Verified,"""There is no customer service""","Air Asia what a joke. Their website doesn't work. Their check in machines at the airport don't work. There is no customer service. There are no offices. There are no phone numbers to call. You pay for a minimum of 20kg for luggage regardless of the actual weight (and the price goes up from there if you are the slightest overweight) You are jammed into seats like sardines. Worst flight I have ever taken. They say they will give you credit for your flights. Don't believe them. Your Air Asia account remains blank - no current bookings, no past bookings, no credit history, nothing in any of the folders. Make sure you have your own copy of all flight details cause you won't get them from their website or your Air Asia account. I booked online. When I received my ticket it had the wrong name, birth date and gender. What? I spent weeks hunting down a way to contact them to get it changed. Eventually I just abandoned the flight and booked on another one.",Solo Leisure,Economy Class,Kuala Lumpur,Siem Reap,,September 2023,1.0,3.0,2.0,2,no,2.0,,,
2023-09-06,9,Ireland,Not Verified,"""the best low cost airline""","Air Asia, for me the best low cost airline. Friendly staff, both on ground and in air. Unusual food served in flight (see picture) was very nice and at affordable price. Flight attendants were extremely friendly not like experience I had with other airlines. Captain made proper announcements, again better than other low cost airlines. 4 Star's from me.",Business,Economy Class,Taipei,Manila,,September 2023,5.0,5.0,4.0,4,yes,4.0,,,A320
2023-09-04,1,Vietnam,Trip Verified,"""terrible experience""","Flight time was 19:35 at L16 gate, but changed to gate L4, and changed to gate L9, finally delayed to on boarding time to be 22:55 without any explanation. This is terrible experience.",Family Leisure,Economy Class,Kuala Lumpur,Ho chi Minh,,September 2023,1.0,3.0,1.0,1,no,,,,
2023-09-02,1,Netherlands,Trip Verified,"""have to pay for everything""","The staff of the ground office was terrible. They did not help us and only made it so difficult, it took so long in the line that we almost missed our airplane. I never experienced such a bad airplane service. You have to pay for everything and no service at all.",Family Leisure,Economy Class,Kuala Lumpur,Singapore,,September 2023,2.0,2.0,1.0,1,no,,,,
2023-08-30,1,United Kingdom,Trip Verified,"""impossible to contact them""",My flight was cancelled and I processed a refund. Never got the money back despite contacting the Customer Service. It's impossible to contact them in other ways.,Solo Leisure,Economy Class,Manila,Bacolod,,September 2022,1.0,1.0,1.0,1,no,1.0,1.0,1.0,
2023-08-25,1,Malaysia,Trip Verified,"""will never fly this airline again""","After booking, AirAsia cancelled departure flight citing ""operations reason"". Have to change flight to 1 day earlier. Next day AirAsia cancelled return flight also citing ""operations reason"". This caused travel schedule plans to be greatly hampered & I have to change hotel bookings etc. This is my 3rd time AirAsia cancelled flights abruptly causing inconvenience. I will never fly this airline again!",Family Leisure,Economy Class,Johor Bahru,Surabaya,,August 2023,1.0,1.0,1.0,2,no,1.0,1.0,1.0,A320
2023-08-22,1,Denmark,Trip Verified,"""never flying with AirAsia again""","First, we order a ticket that doesn’t go through, the site tells us that there was an error. Suddenly we receive an email saying it anyways went through. However, the ticket suddenly had the wrong date, which we only realized when standing in the airport. We knew that we had not put the wrong date, because we both checked through everything before submitting the order, and it was further proven later when air Asia again sent a wrong date after having spoken with them on the phone. When standing in the airport in need of another ticket, AirAsia did not help us get the date adjusted unless we paid a huge amount of money. We had to pay still to pay to change our tickets, even though it was never our mistake. Afterwards, we had to call the customer service 5 times, because every time they sent an adjusted offer there was a mistake. Once the wrong flight, another time the wrong time, and then again the wrong date. Only in the end we got it right after having called 5 times. When we then fly from Krabi to Kuala Lumpur where we have to transfer, we have to pick up our luggage and check in again. We were waiting for our luggage for 30 minutes before it arrived. We then ran to the check in counter arriving 10 minutes after the gate closed and the employee did not help us. He said it was too late and we need to buy new tickets. He said that we should know the airline policy of closing the check in counter when there is 1 hour until the flight leaves and that we should have booked flights with longer time apart. I am furious and I am never flying with AirAsia again.",Couple Leisure,Economy Class,Krabi,Kuala Lumpur,,August 2023,1.0,1.0,1.0,1,no,,,,
2023-08-21,1,Singapore,Not Verified,"""we got two different seats""",Me and my husband we have one booking number and when we where checking in we got two different seats and when we asked the desk crew they said to us we have to pay money and that is not fair.  We will not travel with this AirAsia anymore,Couple Leisure,Economy Class,Singapore,Yogyakarta,,August 2023,1.0,1.0,1.0,1,no,,,,
2023-08-20,5,Canada,Not Verified,"""hand luggage exceeded the weight limit"" ","It was my first time flying with Air Asia. We flew from Hong Kong to Manila with my family and friends. The flight itself was fine. Some of our hand carry luggage exceeded the weight limit. The lady who checked our luggage scolded us even I told her already that we will check in the excess weight. We opened our luggage so we can take out valuable items and when she saw us doing that she said, I will give you 10 mins to finish that otherwise you cannot board the aircraft.",Family Leisure,Economy Class,Hong Kong,Manila,,August 2023,3.0,5.0,1.0,3,no,1.0,,,
2023-08-20,7,United Kingdom,Trip Verified,"""cabin crew was kind and gentle""","I took the flight AK 138 from Kuala Lumpur to Hong Kong in 0715 in the early morning. The ground service was okay. It delayed 14 minutes before takeoff. Breakfast is served once the aircraft is stable. The cabin crew was kind and gentle. Nearly everything is extremely spicy so I went with the chicken rice and the wonton noodles. The food was tasty. The seats are comfortable enough. The ride was smooth with little turbulence, but the landing was a bit harsh.",Family Leisure,Economy Class,Kuala Lumpur,Hong Kong,,August 2023,3.0,4.0,3.0,4,yes,4.0,,3.0,A320
