Cleaned_Review,is_negative_sentiment
"Seated in 5C, in a supposedly quieter part of the plane. The flight left late, and lost time, arriving an hour late in Berlin. I found the flight uncomfortable. I didn't sleep a wink. There are no frills on Scoot, even the usb port was charged for. The carpet was filthy and worn. I've been on other Scoot 787s, this one (reg 9VOFH) was really showing its age. I've flown Scoot 4 times, and I like the fares, but the level of discomfort was too much. I paid an extra SGD $50 for the quiet seat and it was a waste of money. It has made me reconsider taking budget airlines long distance. Singapore to Melbourne with Scoot, I can deal with that, but Singapore to Europe, I don't think so.",1
"My wife and booked to fly to Bali for a relaxing holiday June 7th and returning June 16th with Jetstar. We checked in with Jetstar staff flew to Bali only to be told that we would be sent straight back home as the wife's passport was 2 weeks short of the mandatory 6 months required. Bali airport questioned why this was not picked up by Jetstar staff at the check-in counter. We rang the Australian Embassy who said that we should never been allowed to allowed to leave Australia. When flown back to Australia via Sydney where Jetstar Staff stated that this was their fault we should have picked this up at check-in. Pathetic,  useless staff in Brisbane. Do not fly Jetstar. if you have a problem don't bother calling, you will only get a machine. all they want is your money.",1
"Extremely dissatisfied with the Customer Service Relations team. Due to unforeseen and unavoidable circumstance, my flight from Mumbai to London Heathrow was cancelled and hence I wanted to cancel my flight from Tuticorin to Mumbai. I had requested via email to honour and waive the cancellation charges but to no avail. It would have been a gesture of goodwill to waive the charges at least a certain amount and not half the ticket price.",1
"Delay for 4 hours yet when I about to board the plane, they announced another delay. No estimation time. Bad, bad, bad. Don't they have extra aircraft since they are in hometown? What JetStar's CEO said is rubbish. Never fly with them again.",1
"Flew with AirAsia from Chennai (Madras) to Kuala Lumpur. Quite a full flight. I'd checked in online and it was a breeze through the baggage drop as most passengers seemed to have decided to check in old skool style. Plane was loaded efficiently and departed on time. With a favourable tail wind and lack of air traffic, we arrived in KUL half an hour early. Unfortunately there was a plane in our parking slot which hadn't departed yet, so lost 15 mins. The seat on the plane was pretty standard Air Asia legroom and recline -  not a great deal. But given the attractive price of my ticket, I'd say it was pretty good value for money. Couldn't really comment on the inflight service as I was asleep for the most part or playing games on my phone. As we seem to have been the first flight of the day arriving, some of the entry doors in the KLIA2 terminal were not opened, further eroding the gains from the early arrival. Quick through immigration and a long wait for baggage to be unloaded - this took about an hour. Also, quick through Customs checks. All in all, a great value product for a short flight where luxuries are not required.",0
"One of our passengers wanted to upgrade to the Emergency Upgrade Seats. For two days before the actual travel date we could neither reach the AirAsia listed telephone no, nor could we re-login. After boarding the flight we saw a vacant seat and offered to pay but we were not allowed. Same thing happened on the way back from Bali. Neither the online check-in works nor the telephone no. Customer Service is non-existent. There is no AirAsia counter in KL Airport for the service of en route passengers. Even water is not served, which is being too stingy. The A320s flying to India are too cramped. On the way back from Bali to KL, we were unfortunate to get the last row seats. besides the constant sound of the toilet flush, the Cabin Crew, who did not have much work, were chatting away at the top of their voices like excited school children. Flights were late by minimum 1 hour on all four legs. Overall one of the lousiest flights that we have travelled. No professionalism at all.",1
"Berlin to Denpasar via Singapore. First of all, they do not offer water on a 13.5 hour flight. If that's not illegal, it should be. They lost my bag for a week and offered me ZERO help to get it back - I eventually got it back through my own efforts by making dozens of expensive calls every day for a week to the ground staff at the relevant airports. It was extremely stressful. Every time I asked for help from Scoot, if I actually got through which was rare, the person on the end of the phone said it was not their role to help with that and could not even direct me towards someone who could. I filed a claim for compensation for the expenses incurred in the week without my luggage (not to mention the stress of it!) and two months have gone by and they are still ignoring my emails. I'm absolutely appalled by how little care they have for rectifying a mistake they have made. A joke of an airline. Not worth the risk of flying with them. AVOID!!!",1
Flew Melbourne to Bali in business class old plane before they introduce the new planes on the route. Food and drinks were excellent and better than the Qantas domestic offering however please don't scrimp on a proper desert. The current inflight entertainment was limited and I put it away once I looked at the content hopefully new planes have something better. Service was great from the Aussie and Thai crew.,0
"CGK-KUL flight was delayed by 45 min due to some runway repairs that we could see from the window. Flight arrived only slightly late. KUL-MAA flight landed 20 min ahead of time. Although I was flying on cheap tickets I could buy exit row aisle seats for both flights. The middle seat remained vacant in both flights probably because no one wants to pay for the pleasure of sitting in the middle seat! In both flights the meal that I had preordered turned out to be pretty tasty. This is what I like about this airline - at the time of booking you can buy the degree of comfort that you want, verify it and then pay for it. Many other airlines would not allow cheap ticket holders to select premium seats. After flying full service airlines on business for decades I have recently switched to AirAsia in part due to the simplicity of the whole process - booking, seat and meal selection, checkin and boarding. The entire meal service is over quickly and they leave you in peace for the rest of the flight. If you need any snack or drink you could walk to the galley and buy it. Also for destinations in the South, SE Asia region they seem to offer the fastest connections.",0
"Worst customer service. Rude, unprofessional and unpleasant. Combative and unreasonable. Does not offer concrete solutions. Lures you to pay more. Worst flight experience",1
Out of 7 flights with 7 different companies they were the only ones weighing my carry on and even having a 23kg bag included they charged me $65 for it. It was the first and definitely the last time I fly with Jetstar. Its disgusting the way they rip people off.,1
Awful right from the get go. Very poor legroom little recline on seats. No entertainment. Very bad service from inflight staff. This is easily the worst airline I've been on. You get what you pay for. Budget price = budget everything.,1
"Sydney to Auckland. Jetstar lost our car seat and refused to accept any responsibility. Agent at Sydney airport had horrible customer service and we have yet heard back a response from Jetstar after we filed a complaint. On Aug 25, 2018, we were checking in for our flight JQ201 from Sydney to Auckland when we encountered likely the worse customer service of all of my 20 years of traveling experiences. There was a long waiting line to check in at the counter that morning. First question the agent asked of us was ""which one of you can speak English?"". I thought that was rude. We are Asians in appearance but both my husband and I are physicians from the USA.  As she was printing our boarding passes and luggage tags, she said she could see that we paid for two checked-in bags but she could not locate which passengers they were paid under, therefore she still had to charge us for the two checked in bags. I said I had the receipt for the paid checked-in bags. She looked through the computer again and said she still had to charged me for the two checked in bags. I could not believe it! It does not make any sense. I said I was not going to pay again because she could not find it. It is a form of incompetence. She then said ""I am not going to serve you anymore. You have to go to someone else."" and left me there standing. She did not tell me where to go initially. She was clearly doing that to delay my check-in process as a punishment and aggravates my anxiety as the flight departure time was approaching. I then requested to speak to her supervisor. Her supervisor was better but obviously not well trained for customer service (did not display ability to de-escalate the situation). But she figured out the problem was the car seat. Apparently the agent does not know that. She needs to be trained better but that is the least of her problem. Jetstar lost our car seat on the same flight which we learned about we got to Auckland. No one contacted about our car seat for a few days until we got back to San Francisco, USA. We had to buy a new car seat as a result. We contacted them for reimbursement but they refused.",1
On the 12 August we eventually flew Auckland to Singapore. The flight was meant to leave at 10.15am. So we arrived at the airport and checked in - nothing said about any delays just that a gate hadn't been assigned and to check the board. Went through customs told the flight information on our boarding passes was wrong - incorrect flight number! The board had a gate but no time! We went to the gate and found other people some of whom had received text messages saying that the flight was delayed until 14.45 or 4.45. After what would have been boarding time some Jetstar staff eventually appeared. First we were greeted with - didn't you hear the announcement! Then we were given - reluctantly - $10 vouchers to keep us fed and watered for the next 5.5 hours. Had we been told this at check-in we would have bought passes to the lounge so we could have waited in comfort. Jetstar don't allow their vouchers to be used towards the cost of the lounge which is ridiculous. When we finally boarded the flight crew had the audacity to ask us to hurry so they wouldn't be delayed! Then they delayed us as they tried to find 15 missing people - probably the ones who had been told 4.45 instead of 14.45. Never again.,1
"Wellington to Dunedin. I've taken a few flights with Jetstar and aftet today I feel it's time to write a review. If you're looking for a reliable airliner, Jetstar is not it. Every single flight with Jetstar this far has either been delayed heavily or cancelled. I've lost hundreds of dollars in accomodation and rental bookings which I'm told won't be refunded. Don't tell me it's bad weather, the weather is clear, what about the sophisticated instruments you have on board? The last time I fly with Jetstar. Just wasted half of my Sunday and then to be told it's cancelled. Staff are confused and uninformed as well. When compared to other airlines I've never had problems.",1
"Newcastle to Melbourne. I regularly fly this route usually with virgin. I often see this Jetstar flight delayed. This time I chose Jetstar. What a mistake, I was the victim of a 2.15 hr delay because the system was down.  Will never fly this flight again.  No wonder Jetstar gets the ratings it does.",1
"Singapore to Melbourne. The price was great, the aircraft new and the service efficient. Thats about as good as it gets. At 196cm tall the seat doesn't really fit me,  and the seat has a design flaw where the light and call assistance button is on the arm rest. Everyone hits it constantly.  Price of food was bearable but the choices weren't really tempting. I chose the most western item and it was passable but I have had better meals on Jetstar and AirAsia. I think they need to look at the Jetstar 787 and they can make some improvements. Wifi internet workable but a bit pricey.",0
"Singapore to Surabaya. I am a frequent Jetstar customer and satisfied with the service till I had a disappointing experience today with the service attendant. The location of check in in changi airport has just changed and I was clueless. After checking in at the e-kiosk, I queue for back drop and there is one counter for back drop and document check. I queue from the left and the person said, ""what are you here for?"" I answered for back drop. She said, ""next time queue on the left, not on the right!"" with a rude tone. I feel dissatisfied with the way she speak as she need to understand that the location have just changed and customer making mistakes are expected. She need improve on communication skills for Jetstar to keep the regular customers happy.",1
"My first and last flight with Jetstar JQ30. After security at Bangkok I purchased water in departures just before boarding, but was taken off me when boarding as I was told water was not allowed on this flight. I was assured plenty would be available in flight. After take off I requested water to and was presented with a tiny bottle of water and asked for four dollars. I purchased six of these during the flight. In all my years of flying i have never experienced this. I have flown Ryanair around Europe and have no qualms with a budget flight on short haul of a few hours but never imagined this scenario on a 9 hour long haul. I will not fly Jetstar again. Perhaps my fault for not checking out Jetstar before booking.",1
Very bad logistics and management. Very bad in providing information. We arrived at Manila domestic flight terminal 4 with 2 hours in advance only to board the flight 15 minutes before departure in a congested airport with not enough seats. The gate was called past what was supposed to be the boarding time. We then waited almost one hour on the airplane with no A/C (thus with very high temperatures) with no information whatsoever provided on why we were not departing and when this would happen. Overall bad experience and waste of time. Overpriced ticket and bad customer service from Cebu Pacific.,1
"I don't often fly with LCC, but given the good flight schedule and attractive price (even at premium flex, both way), I thought to give that a go. I was very pleasantly surprised how smooth things were. From check in to boarding, and through to KL. It was a nice touch that premium flex passengers were entitled a 30kg, a free meal, frontal hot seats, exclusive check in counter and priority luggage. I found out sourced ground staffs in HKG courteous, boarding was orderly, where priority for premium flex passengers were strictly observed. Seat pitch of hot seats were quite ok, just like any regular economy class of any airlines. Cabin crew are energetic and do their job well. Pre-ordered meal was actually quite tasty, mine was a kung-pao chicken with a free water. The duty free item I ordered was delivered to me with a smile. Plane took off and landed on time. KLIA2 is a good terminal with many shops and eateries. I am very satisfied with the whole experience.",0
"Auckland to Palmerston North. Was in a hurry so checked in online, didn't print out my boarding pass 'cause I didn't even have time (my bad). Was hoping the boarding pass with a bar code on my phone would be ok, lady at boarding gate didn't seem to have a problem with that at all so she checked me in as normal. They ended up checking the wrong person in and gave it to me as me and the other one had the same surname and first name's initial. Obviously this resulted 2 people with the same seating, tried to explain to staff what I thought happened, apologized for the confusion because I felt at fault. The guilty feeling stopped when this lady was rude and blamed the whole thing on me for holding the wrong boarding pass. Well, I'm sorry that your staff was the one who checked the wrong person in, instead of using the booking reference to ensure they checked in the right person, they used the last name (which can be very common). It was amazing how I received no apologies for the mistakes on their end and had to feel bad for my mistakes only. I only thought it was ok to use a boarding pass on phone because I never had an issue with using it in the past with Jetstar. The flight attendant was sweet enough to check if I was ok afterward but then said ""it's alright"" like ""yeah, we forgave you""??? This time it's not the delays that bother me (you get what you pay for), it's the attitude of staff.",1
"JT683 Lion Air morning flight from Surabaya to Palangkarya. Departed on time. The flight was not full, so all passengers were in the plane 15 minutes before departure. Take-off was smooth and the flight landed in Palangkaraya exactly at 7.50 am but landing was rough.",0
"Perth to Cairns. It is a classic low cost airlines, not much legroom, it was a 4 hour flight, not a very comfortable one, except that airfare was reasonable. It was a red eye flight. I would recommend the airline only when fare is considerable less than Qantas or Virgin Australia.",0
"AirAsia needs to step up its game! Flying from Penang to Kuala Lumpur so many times and most of the time the flight is always delayed by an hour plus. Same thing happened again this time, another delay by an hour plus. This is a joke, I have other flight to catch and life to live. The ticket price gets more expensive but service is non-existent. You are being hauled and hushed quickly by the staff and the prided best customer service is a joke. Not consistent and hard to get. Overprice F&B, seat selection and old entertainment and uncomfortable seating arrangement. I will go with a full service carrier in the future!",1
CNX-KUL. Arrived at airport about 30 minutes before scheduled departure time only to find that checkin stops 45 minutes before and the automatic check in machine was programmed not to check me in as I was deemed late. I checked in at the desk without any problem without checked bags. Plane was late inbound but we made up the time on the flight south. Standard AirAsia service with reasonable cabin crew. Not their latest aircraft but interior in good condition. I was lucky to be off the aircraft quickly as the skies opened and there was a short sharp downpour and anyone from the rear of the plane would have been a drowned rat as there is no jetway from AirAsia flights.,0
Last week I flew from BOM to Goa and return. Both flights were slightly delayed (ca 15 mins) but the quality of the service has compensated for these minor delays. The planes are new offering ample legroom - on the flight back we were offered emergency exit seats with no extra fee- which was really nice of them. This flight is really short- ca 37 mins from take-off to touch-down so not much time to offer paid (or pre-paid) meals. In general comparing to European 'no frills' airlines IndiGo presents generally a better offering and service.,0
"Melbourne to Ho Chi Minh via Singapore. Check in at Melbourne our luggage was weighed including my laptop and found to be over the 7 kg about 1.8kg My spouse had her luggage weighed together with her bag and found to exceed the 7 kg allowed by 1.1 kg. According to airline rules we had to pay extra for this. However, the attitude of the 2 female staff at the kiosk was quite insulting. My spouse asked how much will be the charge each for the whole trip, charge was A$91.82 per person for 15 kg each, which we paid. My wife particularly asked if this charge and weight was for each and for the whole trip and the answer was in the affirmative. On departure from SG to Vietnam we were told my spouse had to pay extra because it was JetStar Asia, not Jetstar Intl and they said Jetstar Asia had nothing to do with Jetstar Intl. Luckily my spouse had now only 6.6 kg luggage and she opted to take the luggage to cabin. I paid for 15 kg $91.82, my spouse paid for 15 kg 91.82 (we have receipts).  As said pay cheap get nasty surprises. Never again Jetstar.",1
Was on service from AKL to CHC with Jetstar. The flight was on time check-in was smooth (SMS boarding pass was a smart choice). Attendants were nice helpful though the flight was literally full. Cannot review the food and entertainment in details as they were not included in the price. For a budget airline it was quite good and enjoyable for me.,0
"Manila to Cebu. This is the worst airline ever. The ground staff are not friendly, the flight attendance are no exception either. On top of it, their customer service/care the worst I ever experienced. I will not recommend this airline to anyone I know. Cheap airline with cheap services fit them perfectly.",1
Singapore to Amritsar. The services are very poor. Everything is paid and quality is very poor. They don't even provide free water to their customers. The behavior of the crew towards the customer was also bad.,1
ZIPAIR completely broke my brand new luggage and refused to reimburse for damages. I filed an incident report at the baggage counter and I heard back 3 months later that the luggage (cracked and broken halfway through with multiple holes) was considered a 'scratch' and it 'happens'. I ironically bought the luggage the night before my flight so I wasted $400+ on its first flight with ZIPAIR. Wifi doesnt work and theres no TV to watch movies for the long flight. Cabin crew and food were the only decent experience for ZIPAIR.,1
"Tokyo to Sydney via Taipei / Singapore. Food and drink service almost non-existent. Food pathetic, especially for business class. No inflight entertainment, not even a screen on the back of the seat in front. Some passengers able to connect to a plug in the armrest and watch a movie on their mobile phone. Very unsatisfactory. No business class lounge at Tokyo or Taipei. First and last Scoot flight.",1
They closed gates 30 mins prior to departure without any notification and staff is so rude and misbehaving. They leave us on airport and take extra charges for next flight.,1
Flew Scoot Sydney to Singapore 2pm flight. Checked in at 12 and told flight was delayed 2 hours. Boards showed flight boarding so went to boarding gate only to be told flight was delayed again - no one knew why. 2 hours later we got to board. Sat on the plane for almost an hour before we took off. My first son flew two weeks later - his flight was delayed by an hour - boarding was chaotic whilst every friend and his brother tried to rush onto the plane irrespective of a zone call. My daughter in law flew in last week Friday. Arrival time was 7pm. Looking online we saw the flight was delayed by 2 hours. We arrived at the airport at 9pm - flight board showed arrival as 9.15pm. At 9.30pm arrival time was changed to 10.22pm! Delayed 3.5 hours! Hugely unimpressed with Scoot.,1
"Manila to Sydney. You get exactly what you pay for. A horrible Check in experience, the flight was full so about 400+ people wanting to check in at the same time, however I only had hand luggage and had to queue with everyone regardless of checking in online and only having cabin baggage which is a painfully awful service to receive. Cebu Pacific has one class which is economy so the aircraft is like a bus with a 3x3x3 seat configuration, thinning at the back of the aircraft to 2x3x2 - the seats were very uncomfortable for an 8 hour flight! The cabin staff are distinctly average, with a really dated uniform and no IFE (which was expected). Overall I would use this airline again purely as the flight was ridiculously cheap in a sale. However this airline could learn a lot from their long haul competitors AirAsia X.",0
Do not fly with them. They cancelled my flight and I've spent days trying to get a refund or credit. They do anything not to talk to you and put you through hoops of never getting in contact with them. Only way is to drive out to the airport 3 times and still they just send an email shutting the case with no explanation. They cancelled the flight to keep tourists trapped in Bali during Covid and still won't give a refund.,1
I am very disappointed with  Jetstar. I am requesting a refund for the canceled Brisbane to Melbourne flight ($ 610) the day after I booked it. Jetstar offers me only a voucher that I cannot use. I am returning to my country on Thursday and have no other flights available before this day. They don't want to hear anything. Jestar is taking advantage of these times of crisis to rip off people.  Shame on you.,1
"Worst company ever, avoid at all costs. Loaded a full plane with passengers on a delayed schedule. Machine and air conditioning were not functioning. Temperatures were beyond belief. Kept everyone on the plane in those conditions for 30 minutes with no respect for wellbeing of passengers. Crew acted like they knew nothing. Captain made no announcement. Proceeded to offload everyone and then provided no info for 30 minutes. Plane had technical issues and was unable to depart. Passengers were made to wait for a new plane.",1
Just today my family took an A321 flight from Melbourne to Hobart. My family moved to our seats and when we sat down we could see food scraps on our seats and on the floor. The plane left at 4pm one hour late and looking like a pigsty. The Captain apologised for the delay and promised free refreshments we then were offered a cup of water.,1
"Kuala Lumpur to Thiruchillapali. This is the first time I have experienced bad service by air Asia, and it happened in their KL terminal 2.  My wife booked a ticket for me to go to India via KL, but she booked it under my nick name because domestically in the Philippines I travel under that name. The ticket we bought however does allow passenger name change, but there is a fine print which is a total con. The chat service and customer support just kept throwing us back and forth and finally when we pushed they promised that it will be refunded we just have to buy another ticket for the moment. Well this happened December 2016. Till now no answer, just a template answer saying no refund because the name is different. To me, I don't care about the money it's a small issue. I still fly air Asia when there is no other airline available for the price and time, but if there is a better airline, I take that instead.",1
