Airline,Review ID,Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity,Aircraft
indigo-airlines,886226,2024-01-17,1,Germany,Not Verified,“They do not care”,"For the first time ever after around 50 years of flying my baggage got lost. After insisting some staff were worried enough to deal with me as a European on a domestic flight. After 3 hours and 6 different employees I finally got a ridiculous pink copy of a handwritten report - like 50 years ago. In my hotel I wasted 2 hours trying to chat with them to find out if my loss has been registered - and jumped from position 550 to 26, then back to 3xx, back and forth, meaningless. After calling them a robot's voice sounded like a scifi-movie from the 50s, useless again. So far Indigo acts inhuman, without any empathy for my loss. They do not care. Who is interested in seat comfort when the baggage gets lost and nobody at Indigo cares?",Solo Leisure,Economy Class,Delhi,Mumbai,,January 2024,3.0,3.0,,1.0,1,no,,,
indigo-airlines,886220,2024-01-17,1,United States,Not Verified,IndiGo customer review,I was not even given water after repeated requests and was finally told that I have to pay. I paid for international travel that includes food. The crew told me that they don’t have a contract with Qatar which is not true. The crew need better training. Another time I was traveling from Ahmadabad to Hyderabad sitting in the front row of the flight. By the time I arrived I was bitten by several mosquitos. The DGCA need to take stringent action. I have promised myself not to fly Indigo again.,Solo Leisure,Economy Class,Atlanta,Hyderabad,Doha,July 2023,1.0,1.0,1.0,1.0,1,no,1.0,1.0,
indigo-airlines,885950,2024-01-15,1,United Arab Emirates,Not Verified,“have 0 standards to fly International”,"One thing is clear. Indigo have 0 standards to fly International. They are not capable enough. My in laws were travelling from Ahmedabad to Abu Dhabi. 5 days before the flight the itinerary changed to Ahmedabad to Mumbai to Abu Dhabi. Even though they were senior citizens, we didn't have any choice but to accept the revised itinerary. They reached Ahmedabad airport. Checked in. Got the boarding pass and boom. 1 hour before the flight they confirmed they don't have a plane to transport them from Ahmedabad to Mumbai. With google algorithms I understood the Raipur Ahmedabad flight created delay for Ahmedabad Mumbai domestic. But they didn't have any other backup. This had happened several times with me & I have stopped booking Indigo for my international destinations. My father in law called up the customer care they said, ""Sir aaj flight cancelled he. Aap ghar jaiye."" (Sir today's flight has been cancelled. Please go home.) Ghar jaiye???? (I have a recording) Is this a Jantanagri express that got cancelled? He fought with the customer care guy & then they offered next day flight of Ahmedabad to Delhi to Dubai. I had to take a leave from office & travel to Dubai to pick them up. Also they didn't give any hotel or food till 11.59 pm. After 12.00 am they gave lounge access & some food. They were at airport since previous day 5 pm. Till 12.00 am nothing was given. They said your flight is scheduled next day at 4.00 am so we can't give food & lounge today. Seriously? I would recommend people around the world even if you are getting 99% off from Indigo don't travel unless time isn't money for you. Yes I do accept they are a little better in Domestic but International. A big no.",Family Leisure,Economy Class,Ahmedabad,Abu Dhabi,Mumbai,December 2023,2.0,1.0,2.0,1.0,1,no,1.0,,A320
indigo-airlines,885776,2024-01-13,1,India,Not Verified,“a very stressful experience”,Travelling this airlines has been a very stressful experience and I would never take a flight with them again. The staff and managers at Nagpur airport were very slow and didn’t respond to our queries when we said it was an emergency situation very early in the morning nobody was helpful in that situation. Think twice before booking this airline.,Family Leisure,Premium Economy,Nagpur,Bangalore,Mumbai,January 2024,1.0,2.0,1.0,1.0,1,no,,,
indigo-airlines,885393,2024-01-09,1,Canada,Not Verified,“Not worth the hassle”,"This is the first time in 20 years of flying. I have never had to ask for water so many times, it was a struggle just to get water. They had no in flight, anything. Even the onboard entertainment was not working, on an international flight they had the worst in flight service. It took them 30 min just to serve water. After the water they served no juice of any kind. Their in flight meal was disgusting and it was late arriving. Not worth the hassle, experience, and service.",Solo Leisure,Economy Class,Istanbul,Bangkok,New Delhi,January 2024,1.0,1.0,1.0,1.0,1,no,1.0,1.0,
indigo-airlines,885039,2024-01-06,4,India,Not Verified,“New crew is really pathetic”,"I’ve been flying with IndiGo for many years now, and thinking to switch to other airline. On 5th Jan 1650 flight 10F seat experienced Cabin crew is very arrogant. While web check-in tried to book meal but it was not giving option so cancelled it. In flight crew offered me sandwich for which I asked if they have alternative. She said you have booked it, so explained her. She said take it or leave it. No beverages or even water was offered. New crew is really pathetic.",Business,Economy Class,Ahmadabad,Mumbai,,January 2024,1.0,1.0,1.0,3.0,2,no,1.0,1.0,
indigo-airlines,883960,2023-12-27,1,Germany,Trip Verified,"""this was my worst experience""","Turkish Airlines have partnered with Indigo Airline for route Istanbul to Mumbai and this was my worst experience until now. The Aircraft was really old.  For meal they have served just a packing and a bread. Spoons and butter knife was of wood. Any sort of Alcohol is paid, even a wine. The very basic IFE was just blank white screen.",Solo Leisure,Economy Class,Istanbul,Mumbai,,December 2023,1.0,1.0,1.0,1.0,1,no,,,
indigo-airlines,883812,2023-12-25,4,India,Trip Verified,"""Flight was delayed by 45 minutes""",Flight was delayed by 45 minutes. Usually this flights was delay. After landing luggage reach on belt after 50 minutes. No intimation & no announcement.,Solo Leisure,Economy Class,Jaipur,Mumbai,,December 2023,4.0,5.0,,3.0,2,no,,1.0,
indigo-airlines,882963,2023-12-17,1,India,Not Verified,"""asking for money to give a sandwich""","I took this flight 6E 12 from Istanbul to New Delhi on 15th December 2023 time was 8:15 Pm ( Turkey Time ). The plane was big. But the space in between legs and other seat was so small that it was feeling so suffocating that it was so hard to breathe as there was no proper air flow.  As me and my friend was so hungry so we expected food to come fast but they took time may be some technical issue. So when they bring food and said its paid, we are so heart broken that we gave almost 82000 rupees for the tickets and they are still asking for money to give a single sandwich or juice or you can say just a small meal?  Even sometimes you have to select a seat while booking the tickets as there will be no seats but when you enter the plane sometimes the plane is almost empty.  Please stop making money by harassing people.",Solo Leisure,Economy Class,Istanbul,Delhi,,December 2023,1.0,1.0,1.0,1.0,1,no,1.0,1.0,A321
indigo-airlines,882525,2023-12-11,1,Qatar,Trip Verified,“Horrible inflight and customer service”,"I travelled with Indigo today and my baggage is intentionally missing, because they have loaded connecting flight’s luggage. When asked they were very rude in how they treated you. This flight is not meant for human beings, it’s for animals. Horrible inflight and customer service. Don't know how airline Authority accepts such airlines.",Solo Leisure,First Class,Mumbai,Doha,,December 2023,1.0,1.0,1.0,1.0,1,no,1.0,1.0,
indigo-airlines,882321,2023-12-08,1,India,Trip Verified,“it is due to their fault”,"I have my flight booked to Riyadh via Mumbai, but the flight delayed for more than 1 and half hour to Mumbai, causing me extra stress for my connecting flight, I hope this does not make me miss the flight to Riyadh, since I have booked direct from IndiGo, if I miss my flight from Mumbai to Riyadh, it is due to their fault and they should compensate or arrange another flight. I hope they do.",Business,Economy Class,Mangalore,Riyadh,Mumbai,December 2023,1.0,1.0,,1.0,1,no,,,
indigo-airlines,881583,2023-11-30,5,Singapore,Trip Verified,"""did not change my 12D exit row""","All seats and meals were pre-ordered on 16/10/23. SIN-MAA seat 12A exit row,  correct meal served. MAA-GOI seat 19A exit row, GOX-MAA seat 19A exit row, MAA-SIN booked exit row 12D. Equipment/ aircraft change, due to bigger pax load, the exit rows are now rows 18/19. IndiGo ground service changed aircraft but did not change my 12D exit row to 18D exit row. I found out onboard. Cabin crew only allowed me my exit row seat when I showed them my proof and told them I would like to voluntary offload before the cabin door shut if I don't get the seat I paid for. Next, The cabin crew also served me a Paneer mutter sandwich instead of my pre-order of Paneer Bhatti. They insisted that it was the meal I ordered until I showed them on paper my proof as this was a corporate booking. The meal was returned as my pre-ordered meal was not loaded on the flight. I declined their offer of alternatives.",Business,Economy Class,Singapore,Goa,,November 2023,4.0,4.0,1.0,1.0,2,no,,,A320
indigo-airlines,881077,2023-11-25,1,India,Not Verified,"""left me with a sense of dissatisfaction""","I recently had the unfortunate experience of dealing with missing luggage during my travels with Indigo. Upon arrival at my destination, I discovered that my luggage was nowhere to be found. The process of reporting the missing items was time-consuming and lacked clear communication. The staff seemed overwhelmed, and there was a noticeable lack of urgency in resolving the issue. While I understand that mishaps can occur, the delay in locating and delivering my luggage was frustrating. I felt a disconnect between the airline and its passengers during this ordeal, and the updates provided were minimal, leaving me in the dark about the status of my belongings. In the end, my luggage was eventually recovered and returned to me, but the overall experience left me with a sense of dissatisfaction.",Solo Leisure,Economy Class,Doha,Hyderabad,,November 2023,2.0,5.0,5.0,3.0,3,no,1.0,,
indigo-airlines,880489,2023-11-19,2,India,Trip Verified,"""flight is delayed for 2 hrs""","One of worst hospitality. On 19/11/2023 flight is delayed for 2 hrs, no announcement or any information on delay. Staff at terminal gates does not have any idea on delay and are not ready to provide any proper information. They are just chilling out and avoiding customers. They are not ready to provide their superior number or call him to the gate. They are simply saying you can send an email on delay or else can go to the main counter for further information.",Business,Economy Class,Hyderabad,Rajamahendravaram,,November 2023,3.0,2.0,,1.0,2,no,,,
indigo-airlines,878808,2023-11-03,8,India,Trip Verified,"""par with the international carriers""",If not for the efficient Soniya at ground staff I would have not made it. Also the onboard team make this budget airline at par with the international carriers. I think there is a reason why people relate with indigo as a national carrier.,Business,Economy Class,Raipur,Bhubaneswar,,November 2023,3.0,5.0,3.0,5.0,4,yes,2.0,,
indigo-airlines,878581,2023-10-31,2,India,Not Verified,“seats were tattered and stained”,"It was a bad letdown on 6E 202 from Nagpur to Pune - The seats were tattered and stained - The seat pockets were torn - There was litter in odd places - The bathrooms were dirty and stinking - The value of ₹400 was not met and instead of Chicken Noodles, I got Poha - The staff never gave me water despite asking twice.",Family Leisure,Economy Class,Nagpur,Pune,,October 2023,4.0,2.0,2.0,4.0,1,yes,1.0,3.0,A320 Neo
indigo-airlines,878408,2023-10-30,6,India,Not Verified,"""Overall a no-fuss experience""","The flight was just about alright for the 2 hour hop between Delhi and Mumbai. IndiGo has introduced automated baggage drop but the instructions etc are not very clear so most end up needing assistance. Delhi's Terminal 1 is undergoing significant modification and hence the on-ground experience is not very good, with chaotic security lines and limited food options and charging stations. The in-flight experience was courteous but clinical, a typical LCC experience. The legroom was adequate and being an Airbus, the seat width is better but the slim seats are not very supportive and I would hate to be in them for anything longer than a 2 hour journey. The crew do offer free water on the flight on request and in a small glass but only after the pre-booked meals are handed over which on a hot day can be awful. Remember to carry a water bottle since in flight water bottle cost The absence of chargers, app based IFE will be felt on longer journeys. Overall a no-fuss experience but worth it only if you are saving at least 1000-1500 over full fare carriers like Vistara/Air India on the Bom-Del leg, other wise the cost of food at the airport or on-ground will mean the net savings are nil. For Frequent Fliers with status on other carriers, the bar is even higher.",Solo Leisure,Economy Class,Delhi,Mumbai,,October 2023,3.0,3.0,,2.0,3,no,,,A321neo
indigo-airlines,878359,2023-10-29,2,India,Trip Verified,"""Very bad experience""",I travelled from Istanbul to Delhi by Indigo airlines 6E12 on 23/10/2023 along with my wife . The flight was horrible with very little leg space. The air hostesses did not care for the passengers and they did not care to offer water also. I would strongly advise people not to choose Indigo. Very bad experience to me and to my wife.,Couple Leisure,Economy Class,Istanbul,Delhi,,October 2023,1.0,1.0,1.0,2.0,2,no,,,
indigo-airlines,876989,2023-10-17,1,United Arab Emirates,Not Verified,"""not able to take my cabin baggage""",At check in I was told that I am not able to take my cabin baggage as the aircraft is small. While boarding I found that everybody is carrying hand luggage except me. Then I found that carrier is normal A320 with sufficient luggage space.,Solo Leisure,Economy Class,Abu Dhabi,Hyderabad,,October 2023,1.0,1.0,,1.0,1,no,,,A320
indigo-airlines,876973,2023-10-17,1,India,Not Verified,"""staff is so rude""",They closed gates 30 mins prior to departure without any notification and staff is so rude and misbehaving. They leave us on airport and take extra charges for next flight.,Family Leisure,Economy Class,Mumbai,Amritsar,,October 2023,1.0,1.0,1.0,1.0,1,no,1.0,1.0,
indigo-airlines,876735,2023-10-15,3,India,Not Verified,"""frequent reschedules and cancellations""",Indigo flight service has worsened a lot as they do frequent reschedules and cancellations. Please avoid booking on Indigo especially if you are on an official trip or have a doctors appointment or a connecting flight. Please go for other flights instead of Indigo,Family Leisure,Economy Class,Kolkata,Jodhpur,,December 2022,3.0,3.0,2.0,2.0,2,no,2.0,1.0,
indigo-airlines,876049,2023-10-09,8,India,Trip Verified,"""courteous crew, value for money""","Indigo, largest Indian operator and a budget carrier. no additional features like IFE or meal but decent service. no issues flying domestic, mostly on time, clean and fresh interior, courteous crew, value for money.",Solo Leisure,Economy Class,Bangalore,Patna,,October 2023,3.0,4.0,,4.0,4,yes,,,A320Neo
indigo-airlines,875015,2023-10-01,1,India,Trip Verified,"""Very disappointing""","Very disappointing. Reached airport on time and also had web check in done but refused to let us fly. Indigo staff took too much time with the guy standing before me and by the time I reached the counter, refused to board me. I requested but the staff were rude and didn't co-operate at all. Ruined my vacation. Still one hour was for the flight to fly. Didn't refund me or arrange any alternative flight. Rude and non co-operative staff, poor service, sitting there to loot passengers.",Family Leisure,Economy Class,Ahmedabad,Srinagar,,October 2023,2.0,1.0,,1.0,1,no,,,A320
indigo-airlines,874644,2023-09-28,1,India,Trip Verified,"""did not serve corporate meal to me""",Bad experience. They did not serve corporate meal to me. I asked them before landing then they come with some meal available. They serve this 15 min before landing and served when I asked for it. I observed there attention is on who are passenger who are buying meals. Even served food are not sufficient. Flight is also delayed by 1 hour. Don't want to fly again with them.,Solo Leisure,Economy Class,Hyderabad,Delhi,,September 2023,1.0,1.0,1.0,1.0,1,no,,,
indigo-airlines,874630,2023-09-28,8,Estonia,Trip Verified,"""dealt the issue with professionalism""","My flight was 6E 0018 on 27-SEP-2023. The flight had some issues with electric problems but the cabin crews dealt the issue with professionalism. Sabiya, the crew member was awesome and kept her cool throughout the journey and helped each and every passengers. It was a tough day but a big salute to all especially Sabiya.",Solo Leisure,Economy Class,Istanbul,Mumbai,,September 2023,4.0,5.0,3.0,4.0,5,yes,,,
indigo-airlines,873320,2023-09-19,10,United States,Not Verified,"""motivated and talented cabin crew"" ","I was flying to Amritsar and flight attendant Somiwon and her buddies did a great job taking care of me and other passengers. The demeanour was positive and helpful and customer service excellent! I never receive such great service on domestic flights to India. In my return flight I had the same service, especially my cabin crew leader Aarti. I am impressed and proud of the young ladies in Indigos cabin crew. Indigo airlines is fortunate to have a motivated and talented cabin crew!",Solo Leisure,Economy Class,Bangalore,Amritsar,,September 2023,4.0,5.0,4.0,3.0,4,yes,,,
indigo-airlines,872953,2023-09-17,9,United Arab Emirates,Not Verified,"""keen interest to resolve the matter""","Sushmita, the air hostess in GE5387 was very helpful to retrieve food as complimentary service for my children. I had preponed the tickets and the meals were paid for the tickets but the new tickets were last minute and food bookings could not be re-applied to the renewed tickets. She helped and took keen interest to resolve the matter. Wish her the best",Family Leisure,Economy Class,Mangalore,Mumbai,,September 2023,5.0,5.0,5.0,3.0,4,yes,3.0,3.0,
indigo-airlines,871675,2023-09-08,5,India,Trip Verified,"""no one was bothered to serve""","Firstly to appreciate the ambiance of the plane was classy and good, it was a noon flight and expected to have something on flight. I called to the air hostess and asked her for something to eat as she was serving and asking a few people what they want, but she said the sales will start in sometime and that I can take them. I also wanted to take some goodies of indigo cookies and nuts for my daughter but no one was bothered to serve.",Family Leisure,Economy Class,Vishakapatnam,Bangalore,,September 2023,4.0,1.0,1.0,3.0,2,no,,,
indigo-airlines,870749,2023-09-02,2,Spain,Trip Verified,"""boarding experience unpleasant""","Bought tickets with Turkish (Madrid-Mumbai) with Indigo flying Istanbul -Mumbai - Istanbul. Pretty costly ones due to the urgency to fly. Turkish has very old planes running with neanderthal entertainment systems. From Istanbul the night mare started with Indigo. - On a 7 hour flight just one very small meal and a pretty bad one (uncooked thick parathas, practically they could have given us the wheat flour instead). - No beverage options other than coca cola and water. - Neither coffee or tea was served - No entertainment system - Tried changing return flights but couldn't due to the exorbitant prices asked by Turkish to do so. So suffered the ordeal again while flying back where had fellow passengers complaining regrading the same. The boarding experience was unpleasant as they were really unorganised during the zone call. Being miser or cheap is entirely different from being a low cost Airlines. Indigo should fly cattle instead as Cattle won't complain. Do a favour on mankind by not flying international flights where you bring your corporate cheapness aboard. Rest assured I am never going to fly neither Turkish or Indigo again on an international route.",Solo Leisure,Premium Economy,Mumbai,Madrid,Istanbul,August 2023,1.0,1.0,1.0,1.0,1,no,1.0,1.0,
indigo-airlines,870435,2023-08-30,5,India,Not Verified,"""Seats and service were sub-par""","Very bad food. Small portion size. No alcohol served - paid service. I did to and from in Indigo, both times the food quality was very poor. It is not expected for international airline. Seats and service were also sub-par. In-flight entertainment was not working for any passenger.",Solo Leisure,Economy Class,Delhi,Istanbul,,June 2023,3.0,2.0,1.0,2.0,3,no,1.0,1.0,A320 Neo
indigo-airlines,869480,2023-08-24,1,India,Not Verified,"""charged 7000 extra luggage charge""",I had cabin suitcase as I was travelling with Infant. They did not allowed me to take it to cabin. They charged 7000 extra luggage charge. I repeatedly said that it's cabin suitcase but they did not allowed as they wanted to make money.  I will never recommend this airline to anyone.,Family Leisure,Economy Class,Pune,Delhi,,August 2023,2.0,2.0,2.0,1.0,1,no,,,
indigo-airlines,868746,2023-08-18,2,France,Trip Verified,"""lack of professionalism""","After our first flight from Bengaluru to Indore, we had our second flight (Indore to Udaipur) canceled by the company. The only possibilities: to be reimbursed and stay on site in transit without nothing to do or to reach Delhi at 5pm, to stay in a hotel with meals and pick up and drop off included, before having a flight to our final destination the next morning. Finally the flight to Delhi was at 11pm! Arrival on site: no staff aware of the situation. We waited 3 hours in the middle of the night in front of the counter then we slept the remaining 2 hours in front of the boarding gate on the floor. Contract not fulfilled by the company. We are now appealing: no response to our emails and our calls. After threatening to escalate the information, we are offered compensation of 500rp (it’s a joke!) because ""we chose to take the flight"". Yes, we chose this option, we did not choose the lie of the company and their lack of professionalism.",Couple Leisure,Economy Class,Bengaluru,Udaipur,Indore,August 2023,3.0,4.0,,1.0,1,no,,,
indigo-airlines,868610,2023-08-17,10,India,Not Verified,"""The service was excellent""","The service was excellent and On time, I would like to Appreciate the staff Varsha who Assist me with Check in and she was in boarding gate also. She was assisting everyone with a genuine Smile and resolving the query. Good to see this kind of staff, I will fly again with Indigo and recommend, just because the service which I received.",Business,Economy Class,Udaipur,Bangalore,,August 2023,4.0,4.0,4.0,5.0,5,yes,,,=
indigo-airlines,868116,2023-08-14,1,Canada,Trip Verified,"""incredibly disappointed by the appalling service""","I'm incredibly disappointed by the appalling service provided by Indigo Airlines during my recent transit experience at Chennai airport. The mishandling of 5 guests who were flying to Colombo due to the Trichy flight delay by 1 hour is a clear testament to the utter lack of competence and professionalism displayed by the airline.  Not only was there a complete lack of communication about the delay and the subsequent impact on connecting flights, but the airline failed to provide any assistance or support.  It's clear that customer satisfaction is not a priority for this airline,",Family Leisure,Economy Class,Trichy,Colombo,Chennai,August 2023,1.0,1.0,1.0,1.0,1,no,1.0,1.0,
indigo-airlines,867413,2023-08-10,1,United States,Trip Verified,"""manually tagged bags were missing""","Traveling with IndiGo on our recent family trip from HYD to DFW via DOH proved to be a frustrating experience that left us feeling helpless and disappointed. During our check-in at HYD, IndiGo's system was down, leading to 7 out of our 13 total checked-in bags being manually tagged. Though we understood that technical issues can happen, what followed was a series of missteps. Upon arrival at DFW, we discovered that all 7 manually tagged bags were missing. The Qatar Airways team at DFW had no information about these manually generated tags, leaving us stranded without vital belongings. We called IndiGo's customer care 9 times over three days, and each time, the response was the same: unable to reach the Hyderabad crew, and no managers on the call center floor to escalate our issue. The lack of responsiveness and the inability to locate our bags with crucial manual tags felt like a major oversight. What added to our frustration was that 5 of the 7 manual tags were taken back by the IndiGo team when their system came back online, leaving us without any physical proof. Polite customer care representatives, though unable to assist. Failure in handling manual tag situation during system downtime. While we appreciate that technical issues can occur, it's the handling of such problems that defines a company's reputation.",Family Leisure,Economy Class,Hyderabad,Doha,,August 2023,3.0,2.0,,1.0,1,no,2.0,,
indigo-airlines,867341,2023-08-09,2,India,Trip Verified,"""crew looks poorly trained""","The last leg of my connection was Chandigarh to Dubai. I was sat in 4D aisle. Through more than 2 hours of the journey my seat was being kicked and punched from seat 5D just behind me by a child. I complained twice and nothing happened. I asked to see the cabin supervisor and was told she was busy eating. I explained the situation to another crew member and they cautioned the Pax on seat 5D (the mother of the child) to be more decent. Finally after the third call, the family themselves moved the child to seat 4B the middle seat on the other side. At this phase of flight the captain had flashed the fasten seat belt as there was turbulence. To my shock the father of the child sat on 5C made the child stand up on the tray table of seat 4b and play with the overhead fittings including the light, the call button, the oxygen mask compartment and others. I am astonished that such risky and terrible behaviour from the parents of the child was tolerated by the crew and also that the leading lady as they are called simply refused to attend the issue. I am calling to accountability the cabin supervisor and asking Indigo to prevent the tray table from bring used as a play area. Indigo crew looks poorly trained on safety.",Solo Leisure,Economy Class,Chandigarh,Dubai,Chennai,August 2023,1.0,1.0,2.0,4.0,2,no,,,A320
indigo-airlines,866847,2023-08-06,1,India,Not Verified,"""give up my cabin bag at boarding"" ",This is the second incident where I had to give up my cabin bag at boarding. While flying from Mumbai there’s never been space. We reach boarding just for them to take my cabin luggage away and let many other rude passengers get away. And while exiting I realise that passengers sitting in seats 11/12 have placed their luggage above 14 which the cabin crew doesn’t manage.,Business,Economy Class,Bangalore,Mumbai,,August 2023,1.0,1.0,,1.0,1,no,,,
indigo-airlines,866665,2023-08-05,2,India,Trip Verified,"""my baggage was not there""","I travelled in indigo flight on 2nd august 2023 from Sharjah to Hyderabad and Hyderabad to Mangalore (connecting flight). I received my baggage in Hyderabad airport, cleared the custom and connected the luggage to next flight but when i arrived Mangalore my baggage was not there. The crew have told the baggage is left in Hyderabad because of MCT and she promised me that they will be connecting my baggage in the evening flight from Hyderabad to Mangalore, in evening i called them to follow up this issue and they told that its not yet received and they promised it will be received at night on same day. Again i have called them at night and asked about baggage they said that baggage is not arrived yet and it will be received on next day flight on 4th august, so i have called them today again in the morning to about baggage they told that it has been not received and the Hyderabad team is not responding. I have taken Hyderabad teams number and called them on my own and they are telling that they don't have any baggage. I'm very Disappointed with this kind response from indigo, its been 52 hours and there is no trace of my bag.",Family Leisure,Economy Class,Sharjah,Mangalore,Hyderabad,August 2023,1.0,1.0,1.0,1.0,1,no,1.0,1.0,
indigo-airlines,866318,2023-08-03,4,United States,Trip Verified,"""very bad customer service""","When I reserve the ticket, the itinerary and agent says my ticket with Qatar airways, but reach at Qatar they says I am flying with Indigo. But it was ok. After check in, there were very bad customer service. They serve low quality food. There were not great customer service. Leg space was so narrow. Compare to Qatar Airways quality of the service very bad. Normal international flight they serve liquor. There were one time meal serve that that is pre packed with very low quality",Solo Leisure,Economy Class,Doha,Bangalore,,August 2023,2.0,2.0,1.0,4.0,2,no,2.0,,
